seed,arm,lambda_group,K,bank,step,origin,subset_rank,positions,group_ES
42,C2,0.3,32,1,2000,phase23_new,0,"[0, 1]",0.7843146979808807
42,C2,0.3,32,1,2000,phase23_new,1,"[0, 2]",0.7860588312149048
42,C2,0.3,32,1,2000,phase23_new,2,"[0, 3]",0.781905061006546
42,C2,0.3,32,1,2000,phase23_new,3,"[1, 2]",0.7751082897186279
42,C2,0.3,32,1,2000,phase23_new,4,"[1, 3]",0.7806145459413528
42,C2,0.3,32,1,2000,phase23_new,5,"[2, 3]",0.781736183166504
2026,C0,0,32,0,2000,phase22_reused,0,"[0, 1]",1.1128388047218323
2026,C0,0,32,0,2000,phase22_reused,1,"[0, 2]",1.081902015209198
2026,C0,0,32,0,2000,phase22_reused,2,"[0, 3]",1.1171139657497406
2026,C0,0,32,0,2000,phase22_reused,3,"[1, 2]",1.0834236800670625
2026,C0,0,32,0,2000,phase22_reused,4,"[1, 3]",1.137821438908577
2026,C0,0,32,0,2000,phase22_reused,5,"[2, 3]",1.109965795278549
2026,C0,0,32,1,2000,phase22_reused,0,"[0, 1]",1.0338372468948365
2026,C0,0,32,1,2000,phase22_reused,1,"[0, 2]",1.0019551217556
2026,C0,0,32,1,2000,phase22_reused,2,"[0, 3]",1.0298063308000565
2026,C0,0,32,1,2000,phase22_reused,3,"[1, 2]",1.0062939286231996
2026,C0,0,32,1,2000,phase22_reused,4,"[1, 3]",1.0499392181634903
2026,C0,0,32,1,2000,phase22_reused,5,"[2, 3]",1.0237196624279021
2026,C1,0.03,32,0,2000,phase23_new,0,"[0, 1]",0.8540749162435531
2026,C1,0.03,32,0,2000,phase23_new,1,"[0, 2]",0.8590855747461319
2026,C1,0.03,32,0,2000,phase23_new,2,"[0, 3]",0.851078674197197
2026,C1,0.03,32,0,2000,phase23_new,3,"[1, 2]",0.8523240655660629
2026,C1,0.03,32,0,2000,phase23_new,4,"[1, 3]",0.8488479822874069
