seed,arm,lambda_group,K,bank,step,origin,permutation_seed,session_id,correct,shuffled,gap
123,C0,0,32,1,2000,phase22_reused,22103,session17,0.2907518818974495,0.30457621067762375,0.013824328780174255
123,C0,0,32,1,2000,phase22_reused,22103,session18,0.22187478467822075,0.2413177825510502,0.019442997872829437
123,C0,0,32,1,2000,phase22_reused,22103,session19,0.26418498530983925,0.2772757411003113,0.01309075579047203
123,C0,0,32,1,2000,phase22_reused,22103,session2,0.2697189077734947,0.26031578704714775,-0.00940312072634697
123,C0,0,32,1,2000,phase22_reused,22103,session21,0.25036029890179634,0.25692328065633774,0.006562981754541397
123,C0,0,32,1,2000,phase22_reused,22103,session3,0.2894667983055115,0.2973589226603508,0.007892124354839325
123,C0,0,32,1,2000,phase22_reused,22103,session4,0.23280947655439377,0.22953199222683907,-0.0032774843275547028
123,C0,0,32,1,2000,phase22_reused,22103,session5,0.20787134394049644,0.21955469623208046,0.011683352291584015
123,C0,0,32,1,2000,phase22_reused,22103,session6,0.21341415867209435,0.20736327394843102,-0.00605088472366333
123,C0,0,32,1,2000,phase22_reused,22103,session7,0.20364529266953468,0.22120589017868042,0.017560597509145737
123,C0,0,32,1,2000,phase22_reused,22103,session9,0.26149243488907814,0.27988404780626297,0.01839161291718483
123,C0,0,64,1,2000,phase22_reused,22101,session0,0.22447732463479042,0.29676974564790726,0.07229242101311684
123,C0,0,64,1,2000,phase22_reused,22101,session1,0.2457476444542408,0.2782381661236286,0.03249052166938782
123,C0,0,64,1,2000,phase22_reused,22101,session10,0.21716322749853134,0.23773159086704254,0.0205683633685112
123,C0,0,64,1,2000,phase22_reused,22101,session11,0.2544725276529789,0.3026386648416519,0.04816613718867302
123,C0,0,64,1,2000,phase22_reused,22101,session12,0.23204439505934715,0.2481112703680992,0.01606687530875206
123,C0,0,64,1,2000,phase22_reused,22101,session13,0.22313900664448738,0.24304842948913574,0.01990942284464836
123,C0,0,64,1,2000,phase22_reused,22101,session14,0.26134245842695236,0.27370046451687813,0.012358006089925766
123,C0,0,64,1,2000,phase22_reused,22101,session15,0.2338467836380005,0.2304096557199955,-0.0034371279180049896
123,C0,0,64,1,2000,phase22_reused,22101,session16,0.27833740040659904,0.2924138829112053,0.014076482504606247
123,C0,0,64,1,2000,phase22_reused,22101,session17,0.2885318212211132,0.3257714807987213,0.03723965957760811
123,C0,0,64,1,2000,phase22_reused,22101,session18,0.2234853096306324,0.26053525507450104,0.03704994544386864
123,C0,0,64,1,2000,phase22_reused,22101,session19,0.26386262476444244,0.26132094115018845,-0.002541683614253998
123,C0,0,64,1,2000,phase22_reused,22101,session2,0.26802315935492516,0.28274407237768173,0.014720913022756577
123,C0,0,64,1,2000,phase22_reused,22101,session21,0.24889087677001953,0.2691193148493767,0.020228438079357147
123,C0,0,64,1,2000,phase22_reused,22101,session3,0.28598181158304214,0.2945946082472801,0.008612796664237976
123,C0,0,64,1,2000,phase22_reused,22101,session4,0.23377203568816185,0.23840278014540672,0.004630744457244873
123,C0,0,64,1,2000,phase22_reused,22101,session5,0.21105199307203293,0.19964133948087692,-0.011410653591156006
123,C0,0,64,1,2000,phase22_reused,22101,session6,0.21434003487229347,0.22041578963398933,0.006075754761695862
123,C0,0,64,1,2000,phase22_reused,22101,session7,0.20482494682073593,0.22223543375730515,0.017410486936569214
123,C0,0,64,1,2000,phase22_reused,22101,session9,0.2607817128300667,0.280288465321064,0.019506752490997314
123,C0,0,64,1,2000,phase22_reused,22102,session0,0.22447732463479042,0.23873861134052277,0.014261286705732346
123,C0,0,64,1,2000,phase22_reused,22102,session1,0.2457476444542408,0.2723586820065975,0.02661103755235672
123,C0,0,64,1,2000,phase22_reused,22102,session10,0.21716322749853134,0.2259419597685337,0.008778732270002365
123,C0,0,64,1,2000,phase22_reused,22102,session11,0.2544725276529789,0.2782913111150265,0.023818783462047577
123,C0,0,64,1,2000,phase22_reused,22102,session12,0.23204439505934715,0.23898134008049965,0.006936945021152496
