arm,step,index,session,FRC,single_FRC,generated_side_mean,target_side_mean,one_to_one_mean
C1,1000,22,session13,0.5211636034468141,0.2868537105228616,0.05211636034468141,0.02716563010576693,0.02308252034963175
C1,1000,23,session13,0.7353715469624228,0.7158828481651555,0.07353715469624228,0.03352114264357246,0.031307204469913565
C1,1000,24,session14,1.3580291640115871,0.34302751118196523,0.1358029164011587,0.04073727338696796,0.039119870360845244
C1,1000,25,session14,0.6496495323357713,0.5516836550761958,0.06496495323357712,0.03705011709853752,0.03602954308839473
C1,1000,26,session14,0.6053918451638891,0.5978881783496247,0.060539184516388914,0.028948369047755506,0.02823677653941547
C1,1000,27,session14,0.3639815631502958,0.22108554433871713,0.03639815631502958,0.01609331522704108,0.01562738778987413
C1,1000,28,session15,1.04465225372667,0.8103965569222132,0.104465225372667,0.04307212087006803,0.04181548636895482
C1,1000,29,session15,0.35874115341488133,0.02975840893870257,0.035874115341488134,0.01538090271901466,0.014890320193297033
C1,1000,30,session15,0.23594380574886875,-0.022161691021174806,0.023594380574886876,0.011822033741751888,0.010589331357688771
C1,1000,31,session15,0.5054087769459147,0.353927463111093,0.050540877694591466,0.01711170829898545,0.01522866413417134
C1,1000,32,session16,0.4100853518835674,-0.11938731361484778,0.04100853518835674,0.018673813596762602,0.017560178820156418
C1,1000,33,session16,0.23788666045910026,0.0368144340925055,0.023788666045910026,0.013528205948569943,0.012010889573438361
C1,1000,34,session16,0.782160345052225,0.782160345052225,0.07821603450522249,0.024268832883255723,0.021436847918333272
C1,1000,35,session16,0.6851816187507743,0.6785085498203507,0.06851816187507744,0.020283529459675542,0.01753145240083789
C1,1000,36,session17,0.6864775618886079,-0.30043813579540346,0.06864775618886079,0.02109861942122313,0.020021618061880082
C1,1000,37,session17,0.2835488635323412,0.03444366859692616,0.028354886353234122,0.012596745059704484,0.007541308905123706
C1,1000,38,session17,1.1543090584102895,0.8856611509267005,0.11543090584102896,0.03702451572639482,0.03386496624038945
C1,1000,39,session17,0.7161830377499745,0.6049823806851702,0.07161830377499745,0.024802580227203656,0.02116730766577737
C1,1000,40,session18,0.8447731228271642,0.03938733569790154,0.08447731228271642,0.030484503161314364,0.02912652670595216
C1,1000,41,session18,0.30656172991995023,0.30460633731255005,0.030656172991995023,0.019058358384927403,0.016491267389422786
C1,1000,42,session18,0.3236787593434857,0.3128535705264445,0.032367875934348575,0.015674330189448547,0.01103202153816221
C1,1000,43,session18,1.1717957853897683,1.1717957853897683,0.11717957853897683,0.032056727460031756,0.03164662010449077
C1,1000,44,session19,0.4925546724111862,0.4639388382987707,0.04925546724111862,0.0321464016718218,0.028142868448048225
C1,1000,45,session19,0.6089272478855293,0.6089272478855293,0.060892724788552934,0.02524620826946858,0.0212899976655025
C1,1000,46,session19,0.5041423654652801,0.17955913246489325,0.05041423654652801,0.02599968686023969,0.024934262718538866
C1,1000,47,session19,0.9644613256241791,0.9141848790740692,0.09644613256241791,0.056086348232011016,0.04975714453489707
C1,1000,48,session2,0.2609563253447183,-0.15004877969436625,0.02609563253447183,0.006412726862047623,0.004717005108069424
C1,1000,49,session2,0.11372418270957152,-0.22972697903071726,0.011372418270957151,0.003518680459904771,-5.849666006605535e-05
C1,1000,50,session2,0.7341369956272814,-0.11736565535644293,0.07341369956272814,0.02967236497413574,0.028708882927840556
C1,1000,51,session2,0.9803449156488907,0.9330181891922846,0.09803449156488907,0.028295485753685123,0.025650184349368037
C1,1000,52,session21,0.9925469410718182,0.9925469410718182,0.09925469410718182,0.024908604237136055,0.02451839543088726
C1,1000,53,session21,0.6744942150956537,0.6744942150956537,0.06744942150956537,0.029809214916172423,0.028033507710808203
C1,1000,54,session21,0.8041695609779387,0.8041695609779387,0.08041695609779387,0.037961669481098984,0.037042495885518285
C1,1000,55,session21,1.1181709025487079,1.1181709025487079,0.11181709025487079,0.045802291888640274,0.045342458582327515
C1,1000,56,session3,0.7621090018865962,0.6243527832786493,0.07621090018865963,0.03202851985012797,0.03066778827191192
C1,1000,57,session3,1.0011546043528596,0.3427484840400241,0.10011546043528596,0.054016567339842766,0.05191727056941908
C1,1000,58,session3,0.8135245295240163,0.7975490124498975,0.08135245295240164,0.034154492990017146,0.03368396912961533
C1,1000,59,session3,0.9108144424426403,0.9108144424426403,0.09108144424426404,0.0226225890432604,0.020406045526812404
C1,1000,60,session4,0.6771357640749571,0.21180755082366304,0.06771357640749572,0.02133520178176523,0.02034377449832745
C1,1000,61,session4,0.7977396577513366,0.7977396577513366,0.07977396577513365,0.0059281693561435604,0.002805946222206231
C1,1000,62,session4,0.15023993429294685,-0.03874578618196039,0.015023993429294686,0.007257127768491878,0.006905228201655278
C1,1000,63,session4,0.6360766537843963,0.6360766537843963,0.06360766537843962,0.004065327617795965,0.0017400224864924697
C1,1000,64,session5,0.2092691794165652,0.051685653925059645,0.02092691794165652,0.0020245487524911945,0.0009787819958296778
C1,1000,65,session5,0.2906692124659901,0.2805815766071208,0.029066921246599008,0.011972229331002419,0.010426970104201412
C1,1000,66,session5,0.5624970237608513,0.5372114714093069,0.056249702376085134,0.0270623458696272,0.02613251755276615
C1,1000,67,session5,0.7088885460796167,0.7088885460796167,0.07088885460796167,0.016181172630411012,0.014368204613272689
C1,1000,68,session6,0.04545412901979505,0.010420934698991191,0.004545412901979505,0.002419034656518173,0.002159849329744347
C1,1000,69,session6,0.5484794203285589,0.5484794203285589,0.05484794203285589,0.016167147439492928,0.014258691020546591
C1,1000,70,session6,0.15118555634021313,0.014522148640596338,0.015118555634021313,0.007138695800247572,0.004730272676281412
C1,1000,71,session6,0.10703109736598695,-0.0039420147039300356,0.010703109736598696,0.005867069020443228,0.005200051474449554
C1,1000,72,session7,0.4025410677740407,0.4025410677740407,0.04025410677740407,0.009180746312814129,0.008179736909464075
C1,1000,73,session7,0.26409505030011315,0.23319974079215106,0.026409505030011316,0.004113529109426953,0.0015443438388720245
C1,1000,74,session7,0.22410206867223464,0.13457671563895737,0.022410206867223465,0.007778973180101084,0.006786919919511051
C1,1000,75,session7,0.27810224874201994,0.1750113230060639,0.027810224874201993,0.01335661939699249,0.011788720609066492
C1,1000,76,session9,0.5904747510295406,0.41211771428215993,0.059047475102954064,0.03285566706034672,0.031331461647334385
C1,1000,77,session9,0.3060379501067333,0.03236687054560071,0.03060379501067333,0.02453951631286587,0.022349140092162486
