T,arm,step,bank,group,statistics
128,C0,500,0,VA,"{""cross_distance"": 0.6624032571911812, ""self_distance"": 0.7433629713952541, ""ES"": 0.29072177074849603, ""prediction_std"": 0.5964586347341537, ""boundary_fraction"": 0.0, ""temporal_mean"": -0.1352850576164201, ""temporal_std"": 0.2458768866956234, ""velocity_abs_mean"": 0.12090120166540146, ""velocity_rms"": 0.23378846691921354}"
128,C0,500,0,expression,"{""cross_distance"": 0.27635413091629746, ""self_distance"": 0.09644360351376235, ""ES"": 0.22813232885673643, ""prediction_std"": 0.05728847803547978, ""boundary_fraction"": 0.030916595458984376, ""temporal_mean"": 0.12499999990686775, ""temporal_std"": 0.028124936687527226, ""velocity_abs_mean"": 0.012588371531455778, ""velocity_rms"": 0.024986658204579727, ""expression_entropy"": 1.4873344905674457}"
750,C0,500,0,overall,"{""cross_distance"": 0.37359358333051207, ""self_distance"": 0.2325066914781928, ""ES"": 0.2573402373120189, ""prediction_std"": 0.09901671241968871, ""boundary_fraction"": 0.011296751172631047, ""temporal_mean"": 0.15491518788039685, ""temporal_std"": 0.06435033082962036, ""velocity_abs_mean"": 0.0220649984839838, ""velocity_rms"": 0.07226087350863963, ""expression_entropy"": 1.5357743859291078}"
750,C0,500,0,AU,"{""cross_distance"": 0.35635637678205967, ""self_distance"": 0.09627604987472296, ""ES"": 0.30821835063397884, ""prediction_std"": 0.056561013450846076, ""boundary_fraction"": 0.0002443047349856897, ""temporal_mean"": 0.2083563758060336, ""temporal_std"": 0.04447288807714358, ""velocity_abs_mean"": 0.014102027684566565, ""velocity_rms"": 0.027284972148481756}"
750,C0,500,0,VA,"{""cross_distance"": 0.6581314310431481, ""self_distance"": 0.7451008304953575, ""ES"": 0.2855810157954693, ""prediction_std"": 0.5751682035624981, ""boundary_fraction"": 0.0, ""temporal_mean"": -0.1262329638004303, ""temporal_std"": 0.3208461612462997, ""velocity_abs_mean"": 0.11943656178191304, ""velocity_rms"": 0.23853542399592698}"
750,C0,500,0,expression,"{""cross_distance"": 0.28431583642959596, ""self_distance"": 0.10177676491439343, ""ES"": 0.23342745434492826, ""prediction_std"": 0.059583274833858016, ""boundary_fraction"": 0.03484427573857829, ""temporal_mean"": 0.125, ""temporal_std"": 0.03749658699380234, ""velocity_abs_mean"": 0.012652679090388119, ""velocity_rms"": 0.025828488048864527, ""expression_entropy"": 1.5357743859291078}"
128,C0,6000,0,overall,"{""cross_distance"": 0.39775496274232863, ""self_distance"": 0.3100140031427145, ""ES"": 0.24274796098470688, ""prediction_std"": 0.14015914145857095, ""boundary_fraction"": 0.142163327569142, ""temporal_mean"": 0.20149350464344024, ""temporal_std"": 0.08091254397295415, ""velocity_abs_mean"": 0.04528407232137397, ""velocity_rms"": 0.14258125638589264, ""expression_entropy"": 1.1402605324983597}"
128,C0,6000,0,AU,"{""cross_distance"": 0.36593515910208224, ""self_distance"": 0.155852132383734, ""ES"": 0.2880090931430459, ""prediction_std"": 0.09744136449880898, ""boundary_fraction"": 0.08333720314133189, ""temporal_mean"": 0.263545632455498, ""temporal_std"": 0.06435257352422923, ""velocity_abs_mean"": 0.0364424783794675, ""velocity_rms"": 0.08114412457216531}"
128,C0,6000,0,VA,"{""cross_distance"": 0.7455486081540584, ""self_distance"": 0.9419900223612785, ""ES"": 0.2745535969734192, ""prediction_std"": 0.6877137206494808, ""boundary_fraction"": 0.0, ""temporal_mean"": 0.04207673102791887, ""temporal_std"": 0.3427905857563019, ""velocity_abs_mean"": 0.1844634495675564, ""velocity_rms"": 0.4270499812439084}"
128,C0,6000,0,expression,"{""cross_distance"": 0.30003117956221104, ""self_distance"": 0.16110725225880743, ""ES"": 0.21947755450382828, ""prediction_std"": 0.08336634887382388, ""boundary_fraction"": 0.28800315856933595, ""temporal_mean"": 0.125, ""temporal_std"": 0.046492989244870844, ""velocity_abs_mean"": 0.02706721394788474, ""velocity_rms"": 0.07132780989632011, ""expression_entropy"": 1.1402605324983597}"
128,C0,6000,1,overall,"{""cross_distance"": 0.39375508651137353, ""self_distance"": 0.2999563701450825, ""ES"": 0.24377690050750972, ""prediction_std"": 0.1351412578485906, ""boundary_fraction"": 0.14706103182397784, ""temporal_mean"": 0.19460424659773706, ""temporal_std"": 0.0799254251876846, ""velocity_abs_mean"": 0.045197888615075496, ""velocity_rms"": 0.14401641050353647, ""expression_entropy"": 1.1370692506432534}"
128,C0,6000,1,AU,"{""cross_distance"": 0.362496242672205, ""self_distance"": 0.14644528375938534, ""ES"": 0.2892736015841365, ""prediction_std"": 0.09279909618198871, ""boundary_fraction"": 0.08644857253204918, ""temporal_mean"": 0.25640894649550316, ""temporal_std"": 0.06229262275155634, ""velocity_abs_mean"": 0.03541836236254312, ""velocity_rms"": 0.0805681441212073}"
128,C0,6000,1,VA,"{""cross_distance"": 0.7332050062716007, ""self_distance"": 0.913518289476633, ""ES"": 0.2764458615332842, ""prediction_std"": 0.6673213139176368, ""boundary_fraction"": 0.0, ""temporal_mean"": 0.009486121515510603, ""temporal_std"": 0.35041641257703304, ""velocity_abs_mean"": 0.1916844886727631, ""velocity_rms"": 0.4349911015480757}"
128,C0,6000,1,expression,"{""cross_distance"": 0.2983751969411969, ""self_distance"": 0.15649710446596146, ""ES"": 0.2201266447082162, ""prediction_std"": 0.08148781578056515, ""boundary_fraction"": 0.29747467041015624, ""temporal_mean"": 0.12499999990686775, ""temporal_std"": 0.04536419480573386, ""velocity_abs_mean"": 0.02691284619504586, ""velocity_rms"": 0.06979441734729334, ""expression_entropy"": 1.1370692506432534}"
750,C0,6000,0,overall,"{""cross_distance"": 0.3960724737495184, ""self_distance"": 0.3135832570493221, ""ES"": 0.2392808457836509, ""prediction_std"": 0.14160936195403337, ""boundary_fraction"": 0.14738636082038284, ""temporal_mean"": 0.18407279206439853, ""temporal_std"": 0.11353022130206228, ""velocity_abs_mean"": 0.042597919644322246, ""velocity_rms"": 0.1395834838040173, ""expression_entropy"": 1.1609660372138024}"
