arm,step,index,max_chunk_error,old_strict_pass,fp64_chunk_max,fp32_to_fp64_max,multi_FRC_chunk_error,single_FRC_chunk_error,boundary_abs_change,interior_abs_change
C0,500,70,1.6242265701293945e-06,True,,,,,0.03223602473735809,0.006047343835234642
C0,500,71,1.564621925354004e-06,True,,,,,0.03739478439092636,0.007449750788509846
C0,500,72,1.9297003746032715e-06,True,,,,,0.04439631476998329,0.012783150188624859
C0,500,73,2.473592758178711e-06,True,,,,,0.05949002131819725,0.013428227975964546
C0,500,74,2.16066837310791e-06,True,,,,,0.08087505400180817,0.018503841012716293
C0,500,75,1.9650906324386597e-06,True,,,,,0.05624537542462349,0.014670013450086117
C0,500,76,1.8402934074401855e-06,True,,,,,0.06777606904506683,0.01576453074812889
C0,500,77,1.519918441772461e-06,True,,,,,0.07899255305528641,0.02046111784875393
C0,500,78,2.3692846298217773e-06,True,,,,,0.0740068331360817,0.0155989034101367
C0,500,79,1.8738210201263428e-06,True,,,,,0.10192212462425232,0.02181708812713623
C1,2000,0,9.238719940185547e-07,True,,,,,0.05093114450573921,0.025440720841288567
C1,2000,1,9.5367431640625e-07,True,,,,,0.03543601930141449,0.034740325063467026
C1,2000,2,1.0132789611816406e-06,True,,,,,0.031752925366163254,0.027816085144877434
C1,2000,3,1.341104507446289e-06,True,,,,,,0.03328345715999603
C1,2000,4,7.748603820800781e-07,True,,,,,0.07324197888374329,0.025501711294054985
C1,2000,5,8.940696716308594e-07,True,,,,,0.03506951034069061,0.02945294976234436
C1,2000,6,1.0132789611816406e-06,True,,,,,0.07265909761190414,0.02546137012541294
C1,2000,7,1.0132789611816406e-06,True,,,,,0.0449204221367836,0.025482604280114174
C1,2000,8,1.0728836059570312e-06,True,,,,,0.028117792680859566,0.015218041837215424
C1,2000,9,1.1622905731201172e-06,True,,,,,0.039797186851501465,0.025672554969787598
C1,2000,10,1.0728836059570312e-06,True,,,,,0.04583054408431053,0.026239000260829926
C1,2000,11,9.5367431640625e-07,True,,,,,0.07330094277858734,0.021968437358736992
C1,2000,12,1.1771917343139648e-06,True,,,,,0.05157181993126869,0.01597975566983223
