seed,arm,lambda_group,bank,conditional_ES,conditional_cross,conditional_self,group_ES,group_cross,group_self,within,between
42,C0,0,24002,0.24372682962566614,0.38777270801365377,0.2880917575210333,0.9882103830575943,1.7750370144844054,1.5736532628536224,1.456017755717039,1.6128650985658168
42,C0,0,24003,0.24383887238800525,0.3877547223120928,0.287831699848175,0.9855990767478943,1.758836716413498,1.5464752614498138,1.4363308303058147,1.583190071831147
42,C0,0,24004,0.24465025328099727,0.3883511986583471,0.2874018929898739,0.9793404579162598,1.7538313090801239,1.5489817023277284,1.4327198036015034,1.5877356685698032
42,C0,0,24005,0.24489526282995938,0.38843235969543455,0.28707419484853747,0.9635887622833252,1.7336517870426178,1.5401260316371919,1.4311773985624314,1.5764422426621119
42,C0,0,24006,0.24358569122850895,0.38977461606264113,0.29237784929573535,0.9747890740633011,1.741049551963806,1.5325209677219391,1.428385917842388,1.5672326510151227
42,C0,0,24007,0.24621465411037208,0.38753534816205504,0.28264138735830785,1.0020937979221345,1.7802898466587067,1.556392115354538,1.4291434474289417,1.5988083379964033
42,C0,0,24008,0.24783985521644353,0.38842295967042445,0.2811662100255489,1.0168889552354812,1.784137922525406,1.5344979166984558,1.4145186319947243,1.5744910115996995
42,C1,0.03,24001,0.24774670656770467,0.395947777479887,0.2964021410793066,0.8472314774990082,1.4449649155139923,1.1954668760299683,1.1648131117224694,1.2056847974658012
42,C1,0.03,24002,0.25726601779460906,0.407904551923275,0.30127706862986087,0.866759592294693,1.433308470249176,1.1330977529287338,1.101033966243267,1.1437856818238894
42,C1,0.03,24003,0.25232763066887853,0.39973609037697316,0.2948169205337763,0.8655773937702179,1.4145319223403932,1.0979090541601182,1.0645282186567784,1.109035999327898
42,C1,0.03,24004,0.24814923964440821,0.3929110638797283,0.289523646607995,0.8471785902976989,1.444974237680435,1.1955912947654723,1.160567580908537,1.2072658660511175
42,C1,0.03,24005,0.2542373986914754,0.3907764878123999,0.27307818084955215,0.8734041392803192,1.44073988199234,1.1346714824438096,1.097353918850422,1.147110670308272
42,C1,0.03,24006,0.24939006771892308,0.3962214421480894,0.2936627477407455,0.8494805246591568,1.4333169400691985,1.167672824859619,1.1351737447082997,1.1785058515767257
42,C1,0.03,24007,0.2523736393079162,0.39201424419879916,0.27928120978176596,0.8622069537639618,1.4341282665729522,1.1438426226377487,1.1095754593610763,1.1552650103966395
42,C1,0.03,24008,0.25081134494394064,0.3948441967368126,0.2880657039582729,0.8595346122980118,1.4083859741687774,1.0977027237415313,1.0634768635034562,1.1091113438208897
42,C1,0.1,24001,0.2468134230002761,0.39892939366400243,0.30423193983733654,0.7962034821510315,1.4075051367282867,1.222603303194046,1.1815727367997169,1.2362801586588221
