seed,arm,lambda_group,input_index,frames,K,boundary_abs_change,interior_abs_change,finite,domain,candidate_consistency_max_error
123,C1,0.03,36,415,10,,0.011966721154749393,True,True,1.5497207641601562e-06
123,C1,0.03,37,600,10,,0.013696509413421154,True,True,2.0079314708709717e-06
123,C1,0.03,38,543,10,,0.011890512891113758,True,True,1.3783574104309082e-06
123,C1,0.03,39,516,10,,0.013525825925171375,True,True,1.9371509552001953e-06
123,C1,0.03,40,271,10,,0.011690561659634113,True,True,9.238719940185547e-07
123,C1,0.03,41,511,10,,0.010226761922240257,True,True,1.1613592505455017e-06
123,C1,0.03,42,1350,10,0.05797547847032547,0.011278579942882061,True,True,1.6987323760986328e-06
123,C1,0.03,43,1056,10,0.07153042405843735,0.013239502906799316,True,True,1.3709068298339844e-06
123,C1,0.03,44,2403,10,0.07448777556419373,0.010467885062098503,True,True,1.5497207641601562e-06
123,C1,0.03,45,2251,10,0.06558093428611755,0.012371627613902092,True,True,1.3187527656555176e-06
123,C1,0.03,46,3687,10,0.05974820256233215,0.009921678341925144,True,True,1.9744038581848145e-06
123,C1,0.03,47,1800,10,0.07294973731040955,0.011885464191436768,True,True,1.5348196029663086e-06
123,C1,0.03,48,935,10,0.0686131939291954,0.014704486355185509,True,True,1.735985279083252e-06
123,C1,0.03,49,1234,10,0.05325063690543175,0.010559952817857265,True,True,1.2218952178955078e-06
123,C1,0.03,50,1231,10,0.06849925220012665,0.01397902611643076,True,True,1.564621925354004e-06
123,C1,0.03,51,1134,10,0.06825385242700577,0.01234808936715126,True,True,1.4454126358032227e-06
123,C1,0.03,52,5696,10,0.07433045655488968,0.009396697394549847,True,True,1.4007091522216797e-06
123,C1,0.03,53,5943,10,0.06149597093462944,0.009605391882359982,True,True,1.5012919902801514e-06
123,C1,0.03,54,3480,10,0.05915674939751625,0.010667727328836918,True,True,1.8989667296409607e-06
123,C1,0.03,55,3505,10,0.06586898118257523,0.009192715398967266,True,True,1.385807991027832e-06
123,C1,0.03,56,989,10,0.0984659418463707,0.011429848149418831,True,True,1.817941665649414e-06
123,C1,0.03,57,1015,10,0.09000274538993835,0.013720927760004997,True,True,1.7844140529632568e-06
123,C1,0.03,58,1198,10,0.04930705204606056,0.011215020902454853,True,True,1.4565885066986084e-06
123,C1,0.03,59,929,10,0.057706113904714584,0.012750533409416676,True,True,1.5348196029663086e-06
123,C1,0.03,60,1892,10,0.058769699186086655,0.009536871686577797,True,True,1.4156103134155273e-06
123,C1,0.03,61,3455,10,0.06019362434744835,0.00843621976673603,True,True,1.4901161193847656e-06
123,C1,0.03,62,3334,10,0.04907122254371643,0.006550882942974567,True,True,1.341104507446289e-06
123,C1,0.03,63,3599,10,0.07460351288318634,0.009919516742229462,True,True,1.7434358596801758e-06
123,C1,0.03,64,2610,10,0.053042326122522354,0.011468915268778801,True,True,1.601874828338623e-06
123,C1,0.03,65,1685,10,0.05114777013659477,0.013296517543494701,True,True,1.6689300537109375e-06
123,C1,0.03,66,2613,10,0.06768930703401566,0.011391683481633663,True,True,1.4230608940124512e-06
123,C1,0.03,67,1709,10,0.07015743851661682,0.012932920828461647,True,True,1.6652047634124756e-06
123,C1,0.03,68,4558,10,0.051950570195913315,0.007294610608369112,True,True,1.3224780559539795e-06
123,C1,0.03,69,4473,10,0.03789396956562996,0.0050659566186368465,True,True,1.1026859283447266e-06
123,C1,0.03,70,3729,10,0.03700465336441994,0.005379687063395977,True,True,1.1324882507324219e-06
123,C1,0.03,71,4561,10,0.039975397288799286,0.005601981189101934,True,True,1.3560056686401367e-06
123,C1,0.03,72,3416,10,0.05538034066557884,0.007805790286511183,True,True,1.5869736671447754e-06
