model,seed,arm,lambda_group,input_index,official_FRC,generated_side_mean,target_side_mean,one_to_one_mean
MAM_archive_offline,1,MAM,,51,1.3699409294269518,0.13699409294269518,0.04032923953723076,0.038694652049557944
MAM_archive_offline,1,MAM,,52,0.9153314470234067,0.09153314470234067,0.0416893972460558,0.03743963569095616
MAM_archive_offline,1,MAM,,53,0.49357620302799765,0.04935762030279976,0.027093656219978925,0.023305266310635654
MAM_archive_offline,1,MAM,,54,1.1529120582480146,0.11529120582480146,0.06125676232206088,0.0555205014480745
MAM_archive_offline,1,MAM,,55,1.751761349180425,0.1751761349180425,0.070959492373909,0.064333979015878
MAM_archive_offline,1,MAM,,56,0.6134673588538272,0.06134673588538272,0.030580598803608233,0.024610771157484397
MAM_archive_offline,1,MAM,,57,1.0460725731731297,0.10460725731731298,0.0761312485987291,0.05959797708080803
MAM_archive_offline,1,MAM,,58,1.6411792495524637,0.16411792495524638,0.06777809535198824,0.06227246200937603
MAM_archive_offline,1,MAM,,59,0.8841345691122574,0.08841345691122574,0.05213104028902271,0.045078349022368756
MAM_archive_offline,1,MAM,,60,0.8250003215706412,0.08250003215706411,0.03147008842966566,0.027025917141567636
MAM_archive_offline,1,MAM,,61,0.8059843457324722,0.08059843457324722,0.03155350204456549,0.029217004345956154
MAM_archive_offline,1,MAM,,62,0.28971915911357293,0.028971915911357293,0.014298544467912755,0.011568187628567383
MAM_archive_offline,1,MAM,,63,0.46290903527829896,0.0462909035278299,0.020790675649935815,0.018299079519506222
MAM_archive_offline,1,MAM,,64,0.512536597064229,0.051253659706422906,0.03194589838302281,0.028817709552364523
MAM_archive_offline,1,MAM,,65,0.4077453795831322,0.04077453795831322,0.022201437221451393,0.017759129954739973
MAM_archive_offline,1,MAM,,66,0.6043109843638657,0.06043109843638657,0.0438063109676891,0.03823616879115717
MAM_archive_offline,1,MAM,,67,1.4830294411996634,0.14830294411996633,0.0336044347173438,0.03050633035679338
MAM_archive_offline,1,MAM,,68,0.21030272726514745,0.021030272726514747,0.013095270486820451,0.010895728411360373
MAM_archive_offline,1,MAM,,69,0.5778409234625987,0.05778409234625988,0.03471070745912343,0.03010223328609781
MAM_archive_offline,1,MAM,,70,0.1746417455253108,0.017464174552531082,0.014835830034017856,0.010735095267481239
MAM_archive_offline,1,MAM,,71,0.39872043147269015,0.03987204314726901,0.02588205925670935,0.0219460950465937
MAM_archive_offline,1,MAM,,72,0.5017292712795229,0.050172927127952294,0.019960612674347563,0.016591714007521848
MAM_archive_offline,1,MAM,,73,0.288187246413427,0.0288187246413427,0.013928314960062981,0.010566130496994616
MAM_archive_offline,1,MAM,,74,0.2831992758049455,0.028319927580494553,0.0077102131785998255,0.006253908664935216
MAM_archive_offline,1,MAM,,75,0.23624016654448304,0.023624016654448306,0.02552912260313705,0.021064238968957462
MAM_archive_offline,1,MAM,,76,0.9788475472837199,0.09788475472837199,0.05591324600933352,0.04621033107951328
MAM_archive_offline,1,MAM,,77,0.6880310405157755,0.06880310405157755,0.04371649806442709,0.035288631844010314
MAM_archive_offline,1,MAM,,78,0.8607814251874839,0.08607814251874839,0.03180469281085092,0.03000631389398551
MAM_archive_offline,1,MAM,,79,0.818586025678387,0.0818586025678387,0.05488853962947603,0.04946653973837066
seed123_C0_lambda0,123,C0,0,0,0.10251116494228651,0.010251116494228652,0.011942152857404907,0.007203493265689506
seed123_C0_lambda0,123,C0,0,1,0.13801682522532155,0.013801682522532156,0.0073442104096773835,0.004141449172521255
seed123_C0_lambda0,123,C0,0,2,0.24381946406694915,0.024381946406694915,0.011517913237504942,0.011079893217978762
seed123_C0_lambda0,123,C0,0,3,0.09488851134441832,0.009488851134441832,0.007284609831353765,0.005601114221942769
seed123_C0_lambda0,123,C0,0,4,0.4279645537609853,0.04279645537609853,0.029524742287516746,0.027178454942665232
seed123_C0_lambda0,123,C0,0,5,0.2967716392610591,0.02967716392610591,0.026686135847178466,0.023205918890193883
seed123_C0_lambda0,123,C0,0,6,0.45303409990644666,0.045303409990644666,0.025383208979903565,0.021757134518948097
