arm,step,source,group,weight,total,DC,slow,fast
B0-fixed,500,63,VA,0.08,0.025815907647215374,0.011191299317456601,0.011292321314644211,0.0033322870151145678
B0-fixed,500,63,expression,0.32,0.07510874137717768,0.035464724702859184,0.031009932195996903,0.008634084478321641
B0-fixed,500,64,AU,0.6,0.09594997670163977,0.03125892306095333,0.04835565258460977,0.016335401056076657
B0-fixed,500,64,VA,0.08,0.03230947313068521,0.018923205675628205,0.010491584042734408,0.0028946834123226004
B0-fixed,500,64,expression,0.32,0.07302374881382183,0.026736012836826424,0.03558856218625834,0.010699173790737052
B0-fixed,500,65,AU,0.6,0.08609963074371109,0.025865444958921787,0.046044804625669074,0.014189381159120199
B0-fixed,500,65,VA,0.08,0.01713596186848194,0.005624591262832215,0.008975524327252687,0.002535846278397038
B0-fixed,500,65,expression,0.32,0.03987459835147407,0.013303533105057969,0.021247210638104252,0.005323854608311848
B0-fixed,500,66,AU,0.6,0.08726314120966079,0.02359123365552119,0.04817461179140781,0.015497295762731782
B0-fixed,500,66,VA,0.08,0.023175114662437272,0.009557073611667397,0.010647747665163635,0.002970293385606237
B0-fixed,500,66,expression,0.32,0.06485678836408015,0.03220143582201216,0.025739991571445946,0.006915360970622059
B0-fixed,500,67,AU,0.6,0.10964776698876194,0.03461919294926957,0.05683476033643867,0.0181938137030537
B0-fixed,500,67,VA,0.08,0.037273639528300664,0.016803924113267872,0.017789815637485863,0.0026798997775469274
B0-fixed,500,67,expression,0.32,0.07752159709766313,0.03564611807061981,0.03636486924502792,0.00551060978201539
B0-fixed,500,68,AU,0.6,0.06697058332657382,0.02988425826488358,0.022142292929596668,0.014944032132093601
B0-fixed,500,68,VA,0.08,0.023796910722678366,0.015367904795794385,0.005452584801668871,0.0029764211252151177
B0-fixed,500,68,expression,0.32,0.07801235310300939,0.05257749655093739,0.016619033792066126,0.00881582276000588
B0-fixed,500,69,AU,0.6,0.07728805919658768,0.05406292495555127,0.013562732099351665,0.00966240214168472
B0-fixed,500,69,VA,0.08,0.014843621529495829,0.0099722525681037,0.003041518998441387,0.0018298499629507373
B0-fixed,500,69,expression,0.32,0.040371834966079184,0.027969875005537374,0.007748470170871043,0.004653489789670761
B0-fixed,500,70,AU,0.6,0.07279438200668198,0.04115443427617211,0.021004535797574612,0.01063541193293526
B0-fixed,500,70,VA,0.08,0.01600351710271151,0.01001016777097685,0.0040925584971304016,0.0019007908346042586
B0-fixed,500,70,expression,0.32,0.059230320308895724,0.03783687094863493,0.014648964498052933,0.0067444848622078765
