model,source,group,left_block,right_block,left_frames,right_frames,mean_abs_change,candidate_covariance
G0-local,31,expression,0,1,750,120,0.11437839608423017,0.0022589826521495237
G0-local,34,AU,0,1,750,483,0.11291923850792036,-0.00014274065864890146
G0-local,34,VA,0,1,750,483,0.060613807643734155,0.00032408211578124565
G0-local,34,expression,0,1,750,483,0.07415259075828864,-0.0014642388515215812
G0-local,42,AU,0,1,750,600,0.08976651360309337,-0.0004390060551425695
G0-local,42,VA,0,1,750,600,0.04483848881782789,-0.0001916673174061039
G0-local,42,expression,0,1,750,600,0.05525868919626017,-0.0005475738454965513
G0-local,43,AU,0,1,750,306,0.14342816289058186,-0.002575040915627057
G0-local,43,VA,0,1,750,306,0.0645592134677604,6.721949862545682e-05
G0-local,43,expression,0,1,750,306,0.07408675884452798,0.0006377057115112996
G0-local,44,AU,0,1,750,750,0.11840988961177605,-0.0021437639490580656
G0-local,44,AU,1,2,750,750,0.07701466182673163,-0.0005145356459369011
G0-local,44,AU,2,3,750,153,0.13666593449453004,-0.005044962563328878
G0-local,44,VA,0,1,750,750,0.0469984598248125,0.0003085549331919402
G0-local,44,VA,1,2,750,750,0.03997216333754344,-9.224404172604869e-05
G0-local,44,VA,2,3,750,153,0.07084914901908539,0.0012065379110475743
G0-local,44,expression,0,1,750,750,0.0721102999386842,0.00047077077759488016
G0-local,44,expression,1,2,750,750,0.06546003634022697,-5.8634249050914435e-05
G0-local,44,expression,2,3,750,153,0.0861758850793575,0.00030212056423781106
G0-local,45,AU,0,1,750,750,0.10970277713396849,-0.0019997037883018732
G0-local,45,AU,1,2,750,750,0.19193375228118204,-0.0012993299671849269
G0-local,45,AU,2,3,750,1,0.2782724173234358,0.0002688884707975167
G0-local,45,VA,0,1,750,750,0.05035408677960137,-6.215166131248545e-05
G0-local,45,VA,1,2,750,750,0.09754763653404674,6.705961708196479e-05
G0-local,45,VA,2,3,750,1,0.4540622736763985,0.0039599788847850285
G0-local,45,expression,0,1,750,750,0.07260628346248785,0.00039190194954487833
G0-local,45,expression,1,2,750,750,0.10722646215669289,-0.00027611450401906985
G0-local,45,expression,2,3,750,1,0.18830671377571678,-0.002180746110487539
G0-local,46,AU,0,1,750,750,0.06656184446212428,0.0024469266185418266
G0-local,46,AU,1,2,750,750,0.09073982231635233,-0.001519165704651112
G0-local,46,AU,2,3,750,750,0.0973904560232716,0.00044353911899192564
G0-local,46,AU,3,4,750,687,0.0955216641668483,-0.0020796693942723987
G0-local,46,VA,0,1,750,750,0.05106754340688237,0.00022126425323372526
G0-local,46,VA,1,2,750,750,0.049512768036031954,-0.0007608895056949683
G0-local,46,VA,2,3,750,750,0.053062618478425985,-0.0002725580100147388
G0-local,46,VA,3,4,750,687,0.0365582436217697,-0.00021723714157486664
G0-local,46,expression,0,1,750,750,0.051342240201891445,-0.00032955381067845737
G0-local,46,expression,1,2,750,750,0.06265669016038017,-0.0009035468791678482
G0-local,46,expression,2,3,750,750,0.06716983929761487,-0.0021993102566985685
G0-local,46,expression,3,4,750,687,0.06205866497271907,-0.000946458264318515
G0-local,47,AU,0,1,750,750,0.07418613850400992,-0.0007878784213454915
G0-local,47,AU,1,2,750,300,0.15706350862660165,-0.003980102561429003
G0-local,47,VA,0,1,750,750,0.04133040653011546,-1.6655092958843103e-05
G0-local,47,VA,1,2,750,300,0.06924970256236193,-0.0012467049971680217
G0-local,47,expression,0,1,750,750,0.06481434900506543,0.000130084102575637
G0-local,47,expression,1,2,750,300,0.09015958297129717,-0.0020263133488667307
G0-local,48,AU,0,1,750,185,0.14145778307654497,-0.0039281207219559085
G0-local,48,VA,0,1,750,185,0.07606817227203706,0.00036952388605866537
G0-local,48,expression,0,1,750,185,0.09663276305319976,-0.0016026782817609847
G0-local,49,AU,0,1,750,484,0.1023110734523416,0.0010513387113527625
G0-local,49,VA,0,1,750,484,0.05810581484719812,-0.0005584016056872333
G0-local,49,expression,0,1,750,484,0.06529176772060621,-0.0003304436862141803
G0-local,50,AU,0,1,750,481,0.14245720218414074,-0.0001121617157263678
G0-local,50,VA,0,1,750,481,0.05981985696577552,-0.00016450325785868252
G0-local,50,expression,0,1,750,481,0.09011578100448045,-0.001560900811556037
G0-local,51,AU,0,1,750,384,0.14704062781230617,0.0018179716883140605
G0-local,51,VA,0,1,750,384,0.08271123795917638,-0.0004445031922459062
G0-local,51,expression,0,1,750,384,0.08555984513686023,-0.0003637672982352248
G0-local,52,AU,0,1,750,750,0.14291468409750782,-0.0010096729545451865
G0-local,52,AU,1,2,750,750,0.09186819977701938,0.0011190961323456578
G0-local,52,AU,2,3,750,750,0.07862961014289767,0.0020042005390719596
G0-local,52,AU,3,4,750,750,0.12123420929830116,-0.0015053760519099938
G0-local,52,AU,4,5,750,750,0.18362291794334495,0.002022851950655863
G0-local,52,AU,5,6,750,750,0.10398399505261273,0.0014319234167947984
G0-local,52,AU,6,7,750,446,0.15908615218440866,0.0008029678878212691
G0-local,52,VA,0,1,750,750,0.06751703094652022,-0.0002613272431882151
G0-local,52,VA,1,2,750,750,0.027891466847501156,6.144700351018433e-06
G0-local,52,VA,2,3,750,750,0.04428536878064058,0.0001155094087183102
G0-local,52,VA,3,4,750,750,0.0751602341601549,-0.00040166844804779043
G0-local,52,VA,4,5,750,750,0.09600922132236137,0.00019897874628515565
G0-local,52,VA,5,6,750,750,0.04797019996063025,2.6416589566579045e-05
G0-local,52,VA,6,7,750,446,0.04342290618136082,-0.0003184848484821053
G0-local,52,expression,0,1,750,750,0.09412374848606227,0.00038607537535632327
G0-local,52,expression,1,2,750,750,0.062303121586546516,0.00022859554709991656
G0-local,52,expression,2,3,750,750,0.07224286718192283,0.0008574624996363095
G0-local,52,expression,3,4,750,750,0.07888645031216648,0.0008768207613933041
G0-local,52,expression,4,5,750,750,0.10777530587089068,0.0003942506620783254
G0-local,52,expression,5,6,750,750,0.08940008386555721,-0.002185859254930005
G0-local,52,expression,6,7,750,446,0.08951499222471845,-0.000569235639263793
G0-local,53,AU,0,1,750,750,0.07743111260112423,-0.002148835951221256
G0-local,53,AU,1,2,750,750,0.10961911620989999,-4.682890424447682e-05
G0-local,53,AU,2,3,750,750,0.07069111057525869,-0.0009994124012491336
G0-local,53,AU,3,4,750,750,0.07626366565401851,-0.002602942685914148
G0-local,53,AU,4,5,750,750,0.08951550118748178,-0.002325498145055246
G0-local,53,AU,5,6,750,750,0.1436956286915564,-0.005137652017157043
G0-local,53,AU,6,7,750,693,0.19819744169900938,-0.0015395664866701276
G0-local,53,VA,0,1,750,750,0.05754681793094004,-0.000651538018113395
G0-local,53,VA,1,2,750,750,0.06339688343132246,-0.0002389698015937708
G0-local,53,VA,2,3,750,750,0.0373981668821171,0.00027072341383806175
G0-local,53,VA,3,4,750,750,0.05609741905794914,-0.0005701597219161547
G0-local,53,VA,4,5,750,750,0.059989024467776896,0.00016654209869954362
G0-local,53,VA,5,6,750,750,0.08640831187758695,-0.0007316448412051723
G0-local,53,VA,6,7,750,693,0.1238889309399415,0.00010194172743104452
G0-local,53,expression,0,1,750,750,0.06825642583720021,-0.0008129529380189215
G0-local,53,expression,1,2,750,750,0.0890944374941569,-0.0015912791381950619
G0-local,53,expression,2,3,750,750,0.06254172981004048,0.0016447852811729998
G0-local,53,expression,3,4,750,750,0.08681173612525252,-0.0025851423840705253
G0-local,53,expression,4,5,750,750,0.08086251990785445,-0.0011632888557001663
G0-local,53,expression,5,6,750,750,0.08504510659324796,-0.00150106183631637
G0-local,53,expression,6,7,750,693,0.115764075356561,-0.0005256880519209225
G0-local,54,AU,0,1,750,750,0.08415448122476499,0.0016336315016057831
G0-local,54,AU,1,2,750,750,0.15603477665021798,-0.00011698406805844182
G0-local,54,AU,2,3,750,750,0.10531462306887858,0.0008294476704857701
G0-local,54,AU,3,4,750,480,0.08697044010664129,0.0007212077102477332
G0-local,54,VA,0,1,750,750,0.05208543885055733,-0.00021564731775978294
G0-local,54,VA,1,2,750,750,0.07578419501248926,-0.0001420206080088775
G0-local,54,VA,2,3,750,750,0.06305671199128411,-1.60585556557052e-05
G0-local,54,VA,3,4,750,480,0.04115549641040872,0.0004829140726025767
G0-local,54,expression,0,1,750,750,0.0784363921700687,-0.0011983527595315368
G0-local,54,expression,1,2,750,750,0.09369258276626732,-0.0005215731768265507
G0-local,54,expression,2,3,750,750,0.06927656805989883,0.00027036199194944516
G0-local,54,expression,3,4,750,480,0.0845235741558224,0.0010627600383848732
G0-local,55,AU,0,1,750,750,0.09459125686375801,5.033550840735671e-05
G0-local,55,AU,1,2,750,750,0.10994263988801357,-0.001660720537364323
G0-local,55,AU,2,3,750,750,0.06357111847672178,-0.0008083033577863906
G0-local,55,AU,3,4,750,505,0.1805132440799886,-0.0029565241924981254
G0-local,55,VA,0,1,750,750,0.05639732852051166,-0.0001847304500843269
G0-local,55,VA,1,2,750,750,0.05689402317768655,-9.107157255056722e-05
G0-local,55,VA,2,3,750,750,0.042744945973125704,-0.0005121049795107433
G0-local,55,VA,3,4,750,505,0.08439296613362157,0.0003818026441988737
G0-local,55,expression,0,1,750,750,0.06731274628333425,-6.70831306829144e-05
G0-local,55,expression,1,2,750,750,0.07565329743156841,-0.00021121478212474544
G0-local,55,expression,2,3,750,750,0.06490068241585348,-0.0016287967720197414
G0-local,55,expression,3,4,750,505,0.10204199613964429,0.001784750229898508
G0-local,56,AU,0,1,750,239,0.14510257987763542,-0.0002458824483701687
G0-local,56,VA,0,1,750,239,0.07537899936659329,-0.00019354408034364285
G0-local,56,expression,0,1,750,239,0.06602962601120413,-0.00028883324773392105
G0-local,57,AU,0,1,750,265,0.17587221048526652,-0.003037648912186085
G0-local,57,VA,0,1,750,265,0.06069406635899042,-0.0002136584366149302
G0-local,57,expression,0,1,750,265,0.09504275617515216,0.0011604041508657449
G0-local,58,AU,0,1,750,448,0.1133342961331086,-0.00021234887037434953
G0-local,58,VA,0,1,750,448,0.0442551578758142,0.0003979496554756071
G0-local,58,expression,0,1,750,448,0.04908101204565111,0.0014168603748798115
G0-local,59,AU,0,1,750,179,0.11375967171533366,-0.0010792810682296525
G0-local,59,VA,0,1,750,179,0.06483511834947457,-0.000647845066072725
G0-local,59,expression,0,1,750,179,0.09510367771931663,-0.0020956710897903946
G0-local,60,AU,0,1,750,750,0.08996723773961697,0.0010125635251433188
G0-local,60,AU,1,2,750,392,0.0733863975558242,0.002687023882144511
G0-local,60,VA,0,1,750,750,0.04832337506501523,4.4274092611440194e-05
G0-local,60,VA,1,2,750,392,0.045388290642235,-0.00028633637469556076
G0-local,60,expression,0,1,750,750,0.06140759976123049,0.0004605662775478495
G0-local,60,expression,1,2,750,392,0.061423316835149046,0.002470223382871063
G0-local,61,AU,0,1,750,750,0.10420654644295305,0.006309248687112165
G0-local,61,AU,1,2,750,750,0.10064981618908148,1.4648529197932673e-05
G0-local,61,AU,2,3,750,750,0.08883593427754462,0.001112135748215506
G0-local,61,AU,3,4,750,455,0.09448258273086058,-0.0011525320055920515
G0-local,61,VA,0,1,750,750,0.0542942476387806,0.0007129447768809105
G0-local,61,VA,1,2,750,750,0.03248279210607822,0.0005036781737581972
G0-local,61,VA,2,3,750,750,0.05625340315083836,-0.0002180499876334968
G0-local,61,VA,3,4,750,455,0.03501189065693344,-3.366495021977887e-05
G0-local,61,expression,0,1,750,750,0.0714557606135541,0.0009314569014686654
G0-local,61,expression,1,2,750,750,0.056168851985504295,-0.00024080814426696596
G0-local,61,expression,2,3,750,750,0.06605905371643986,-0.0009644330887736991
G0-local,61,expression,3,4,750,455,0.06088600818499475,0.00028403609697151555
G0-local,62,AU,0,1,750,750,0.07439096990994917,-0.0019040869469438759
G0-local,62,AU,1,2,750,750,0.06333429754077535,-0.002623069620782688
G0-local,62,AU,2,3,750,750,0.05261059531366547,0.0013379026071221602
G0-local,62,AU,3,4,750,334,0.07867365208035836,0.0006520632812683954
G0-local,62,VA,0,1,750,750,0.05135078047404342,-0.00035426165138710563
G0-local,62,VA,1,2,750,750,0.03740227145410285,1.6912816379761864e-05
G0-local,62,VA,2,3,750,750,0.04212115188475103,-9.794058169826342e-05
G0-local,62,VA,3,4,750,334,0.04773980509565859,0.0007770157295129247
G0-local,62,expression,0,1,750,750,0.0857929527138149,-0.0012735306007610632
G0-local,62,expression,1,2,750,750,0.09136639569491306,-0.004223954267370743
G0-local,62,expression,2,3,750,750,0.0801796916465993,-0.0006953121141783213
G0-local,62,expression,3,4,750,334,0.08115777436540027,0.001634608131995482
G0-local,63,AU,0,1,750,750,0.08285764940426485,-0.0006674285904082538
G0-local,63,AU,1,2,750,750,0.09360347121392833,0.0020726117859058385
G0-local,63,AU,2,3,750,750,0.09301674148449587,0.001965583467901481
G0-local,63,AU,3,4,750,599,0.14131699844560203,-0.0017269182647503736
G0-local,63,VA,0,1,750,750,0.053822804800827836,-0.0006588155199529052
G0-local,63,VA,1,2,750,750,0.04977136979286346,-0.0002466378146269094
G0-local,63,VA,2,3,750,750,0.05481480142265149,8.86396372233502e-05
G0-local,63,VA,3,4,750,599,0.06549266262753864,-2.0948721607539412e-05
G0-local,63,expression,0,1,750,750,0.06797579114848332,-0.000638287980093836
G0-local,63,expression,1,2,750,750,0.07914130829435,-0.0010102349536118523
G0-local,63,expression,2,3,750,750,0.09711560871206468,-7.385888405329434e-05
G0-local,63,expression,3,4,750,599,0.09177403381271705,0.002061212149340995
G0-local,64,AU,0,1,750,750,0.10191574949194067,-8.44678437338694e-05
G0-local,64,AU,1,2,750,750,0.11531847768225892,-0.0013144100206751962
G0-local,64,AU,2,3,750,360,0.11477190242468109,-0.0010594291341817783
G0-local,64,VA,0,1,750,750,0.048301466888026036,0.0003902489380343439
G0-local,64,VA,1,2,750,750,0.07712040545160247,-0.00021924987757247994
G0-local,64,VA,2,3,750,360,0.053540339924372723,8.387291953712833e-06
G0-local,64,expression,0,1,750,750,0.08947551772288916,0.0005456408216172202
G0-local,64,expression,1,2,750,750,0.1151625663863595,-0.0010057771794265017
G0-local,64,expression,2,3,750,360,0.1007256413785074,-0.0005670190061730338
G0-local,65,AU,0,1,750,750,0.08622233033771626,0.0014862250048982277
G0-local,65,AU,1,2,750,185,0.1569134850842241,-0.002777321463499395
G0-local,65,VA,0,1,750,750,0.049302204466885234,0.00030269637533506953
G0-local,65,VA,1,2,750,185,0.07862890913211687,5.175819418537267e-05
G0-local,65,expression,0,1,750,750,0.06424890192418478,0.0005665753388350274
G0-local,65,expression,1,2,750,185,0.11181971354070323,-0.001026314874234166
G0-local,66,AU,0,1,750,750,0.10172884221872323,0.0004153199966578866
G0-local,66,AU,1,2,750,750,0.09763679572108092,-0.00028935187286099185
G0-local,66,AU,2,3,750,363,0.1329733698839255,-0.0006646729069335794
G0-local,66,VA,0,1,750,750,0.05045420496622507,-0.0004548041296424607
G0-local,66,VA,1,2,750,750,0.030731445087453534,0.0004404720394496197
G0-local,66,VA,2,3,750,363,0.0637665574326344,7.532936207037146e-05
G0-local,66,expression,0,1,750,750,0.08805945443181515,-0.0002699121512998753
G0-local,66,expression,1,2,750,750,0.07392877193509688,0.0005303333674664257
G0-local,66,expression,2,3,750,363,0.08322787024785348,-8.221430847779181e-05
