model,source,group,total,DC,slow,fast,weight,speed,acceleration
G0-local,28,AU,0.11997656362959347,0.045425641007976844,0.07133936485637843,0.0032115577652382164,0.6,0.012645162355136737,0.02207816739849843
G0-local,28,VA,0.021943333937381664,0.004832832143598769,0.015330716508102717,0.0017797852856801806,0.08,0.026977136597788096,0.04586684166306035
G0-local,28,expression,0.04979666693620242,0.01998812522140382,0.027177892809223225,0.0026306489055753757,0.32,0.020862095710027687,0.035674235169092176
G0-local,29,AU,0.08525877856507466,0.02379102081559972,0.059404967973886454,0.002062789775588485,0.6,0.01081412859111552,0.01869954502505557
G0-local,29,VA,0.01723619723365449,0.0030969104799872618,0.012558282491643757,0.001581004262023474,0.08,0.026175346532903956,0.044764369791689206
G0-local,29,expression,0.053001150852407114,0.020013866386175746,0.029981739196894605,0.00300554526933675,0.32,0.02406404069124399,0.04129395131076749
G0-local,30,AU,0.05892183929376796,0.007252815832436613,0.04958516259175001,0.00208386086958134,0.6,0.011166277115524632,0.019348273835124653
G0-local,30,VA,0.013949874675430685,0.0005449134108672778,0.012089004017028266,0.001315957247535144,0.08,0.024405687935052846,0.04173487456204754
G0-local,30,expression,0.03833453878144033,0.004430824233943275,0.030394030863948207,0.003509683683548849,0.32,0.027443558560178393,0.04737477990200918
G0-local,31,AU,0.07648990318987725,0.009280196755080298,0.06399642321587773,0.0032132832189192165,0.6,0.012857949211410457,0.022475868933950607
G0-local,31,VA,0.018442453255858422,0.0018173367837959057,0.014850520552990253,0.0017745959190722648,0.08,0.02782658024628555,0.0477191113918973
G0-local,31,expression,0.04158429325899748,0.008247442087303814,0.02976023132255511,0.00357661984913856,0.32,0.02341170449383912,0.0405526561708311
G0-local,32,AU,0.05659578580484464,0.012062072026302878,0.04129966899542207,0.0032340447831196934,0.6,0.013853639315102865,0.02411273670117355
G0-local,32,VA,0.01363065063844719,0.00276733335375307,0.009509874656249093,0.0013534426284450285,0.08,0.024023721310189566,0.04122703912994537
G0-local,32,expression,0.03173248420255353,0.011053146606527356,0.01892779293884756,0.0017515446571786085,0.32,0.017271653093181315,0.029719530875964413
G0-local,33,AU,0.08146874475906031,0.03007854116136434,0.04798558787945456,0.003404615718241417,0.6,0.014924588768461167,0.026021288102966222
G0-local,33,VA,0.018409807248010713,0.005265051599973618,0.011428409286731079,0.0017163463613060175,0.08,0.027788114163446415,0.04727580452945356
G0-local,33,expression,0.04868119292119512,0.017750337755743955,0.027782935660215433,0.0031479195052357208,0.32,0.02389977193563284,0.04131585503358285
G0-local,34,AU,0.07574944393216346,0.014687510022792592,0.05791546635013943,0.0031464675592314255,0.6,0.013335000048380645,0.023465057057873273
G0-local,34,VA,0.020825635589585157,0.002517242142499328,0.016480930503498033,0.0018274629435877986,0.08,0.027811509389263033,0.047762662739952874
G0-local,34,expression,0.044878068109338046,0.007492805100542598,0.034892670872032815,0.002492592136762632,0.32,0.018154170164153348,0.031374822906924706
G0-local,35,AU,0.06865493276102745,0.01611487622027437,0.0511681873874695,0.0013718691532835891,0.6,0.01009290879702506,0.017304487145083144
G0-local,35,VA,0.01976577680807946,0.001560094154826631,0.01670898472560556,0.001496697927647272,0.08,0.025273796854961533,0.04312479896180674
G0-local,35,expression,0.036607453886299164,0.008357697467561733,0.02601587197620639,0.0022338844425310385,0.32,0.019505671747349334,0.0334008134979735
G0-local,36,AU,0.05361290738502204,0.018158690792657566,0.03368954064231209,0.001764675950052376,0.6,0.009661745823118998,0.01676816401216046
G0-local,36,VA,0.017526165698070487,0.004929739094095303,0.010849873760215093,0.001746552843760088,0.08,0.027158721894051673,0.04637096579386117
G0-local,36,expression,0.04051174384629475,0.016378091159877674,0.021652667933987246,0.002480984752429841,0.32,0.020199727227525586,0.03491554063384565
G0-local,37,AU,0.08328409089738148,0.021063507904422282,0.058393285678711535,0.0038272973142476564,0.6,0.014879624663024213,0.025761521026730305
G0-local,37,VA,0.014908193546366775,0.0017880299627217506,0.011663018573579367,0.0014571450100656586,0.08,0.024744245670500674,0.04221521812171561
G0-local,37,expression,0.03736006107393298,0.010930198154617342,0.023996714541813575,0.0024331483775020643,0.32,0.020811660623615825,0.03556915045100902
G0-local,38,AU,0.04776418887305596,0.013982873913231818,0.031167102333657763,0.002614212626166381,0.6,0.011621710108911406,0.02021746848214485
G0-local,38,VA,0.016367575799231215,0.0028904164068170477,0.011564108132725525,0.0019130512596886402,0.08,0.028038027054638127,0.04763992154379099
G0-local,38,expression,0.026308863481834317,0.007935173743012386,0.015233166657601702,0.00314052308122023,0.32,0.023598254795439005,0.040603245017898935
G0-local,39,AU,0.10082341175977155,0.027004083415389957,0.07006873234250385,0.0037505960018777607,0.6,0.01311051668075964,0.022743274130695025
G0-local,39,VA,0.02477272831985472,0.006711893764962203,0.01607244132513098,0.001988393229761532,0.08,0.028813618251761264,0.04976921085007896
G0-local,39,expression,0.04544674020349984,0.014761814099828718,0.028068948963512714,0.0026159771401583947,0.32,0.019102220067983424,0.0329312062239862
G0-local,40,AU,0.11282793296203732,0.04618400374870488,0.06262804410501735,0.004015885108315089,0.6,0.014711918685895858,0.025358922292148783
G0-local,40,VA,0.027817291206336872,0.00804052489755011,0.017898900249551326,0.0018778660592354405,0.08,0.02561388226251842,0.04354915311868384
G0-local,40,expression,0.06600001102228317,0.03016233368397991,0.032545250585592864,0.0032924267527104055,0.32,0.021730465503492207,0.03734047156331661
G0-local,41,AU,0.05569093450314345,0.015271485949709344,0.03778972156351584,0.0026297269899182665,0.6,0.01331702580288891,0.02310306296019781
