model,source,candidate,best_CCC
G0-local,57,1,0.16609690595540136
G0-local,57,2,0.23552923121622762
G0-local,57,3,0.1903748629800533
G0-local,57,4,0.17927956011066004
G0-local,57,5,0.20139055299402384
G0-local,57,6,0.2510311550202925
G0-local,57,7,0.2063643445557971
G0-local,57,8,0.1430463263565269
G0-local,57,9,0.13019891092661948
G0-local,58,0,0.08282228049915322
G0-local,58,1,0.1106500534684425
G0-local,58,2,0.17990226217835706
G0-local,58,3,0.15174364226073522
G0-local,58,4,0.2116835229988712
G0-local,58,5,0.20996873029282678
G0-local,58,6,0.1608862532215696
G0-local,58,7,0.25855312202738484
G0-local,58,8,0.0963573660146846
G0-local,58,9,0.21968636090466925
G0-local,59,0,0.182996797377001
G0-local,59,1,0.08395787029442874
G0-local,59,2,0.20209331138884074
G0-local,59,3,0.17542195428688667
G0-local,59,4,0.04108337839395557
G0-local,59,5,0.07464391252652006
G0-local,59,6,0.13718605905520667
G0-local,59,7,0.14232357088836461
G0-local,59,8,0.08014790774217585
G0-local,59,9,0.16434173779237335
G0-local,60,0,0.08307434810560793
G0-local,60,1,0.0887878273927255
G0-local,60,2,0.07566868551560231
G0-local,60,3,0.04066037671939344
G0-local,60,4,0.1321129766476016
G0-local,60,5,0.07500924523401878
G0-local,60,6,0.050790849125549695
G0-local,60,7,0.09529596411426948
G0-local,60,8,0.0492794674485231
G0-local,60,9,0.07337623180912617
G0-local,61,0,0.09236705513135501
G0-local,61,1,0.09610851871528339
G0-local,61,2,0.08441946334527455
G0-local,61,3,0.15221779504014887
G0-local,61,4,0.11726778280772064
G0-local,61,5,0.06365796938689189
G0-local,61,6,0.08301405673842202
G0-local,61,7,0.12753136919191113
G0-local,61,8,0.08590990490378315
G0-local,61,9,0.08341114498655956
G0-local,62,0,0.01801888574840745
G0-local,62,1,0.023993928334308978
G0-local,62,2,0.06746227451720772
G0-local,62,3,0.049956611547843276
G0-local,62,4,0.021479301395231905
G0-local,62,5,0.0410277034600901
G0-local,62,6,0.06962168065584981
G0-local,62,7,0.03524618982586901
G0-local,62,8,0.020381574228785282
G0-local,62,9,0.021105852720333253
G0-local,63,0,0.08442452688599016
G0-local,63,1,0.11487989687827606
G0-local,63,2,0.08815463872913726
G0-local,63,3,0.06012066344959756
G0-local,63,4,0.06340802460056025
G0-local,63,5,0.0691223202358506
G0-local,63,6,0.07590516470125011
G0-local,63,7,0.1011997652853975
G0-local,63,8,0.08075281832955739
G0-local,63,9,0.12717081584718323
G0-local,64,0,0.07613856078615004
G0-local,64,1,0.036151591440981415
G0-local,64,2,0.03318046420385386
G0-local,64,3,0.01646790200315188
G0-local,64,4,0.03236998464916545
G0-local,64,5,0.06819185435009704
G0-local,64,6,0.03533778911015266
G0-local,64,7,0.05944948323665534
G0-local,64,8,0.04620430608084766
G0-local,64,9,0.04596400426299493
G0-local,65,0,0.12795612413811963
G0-local,65,1,0.05725754876658265
G0-local,65,2,0.08208901756231007
G0-local,65,3,0.1394116140136665
G0-local,65,4,0.059822887923934046
G0-local,65,5,0.03869065221501016
G0-local,65,6,0.035283900224883924
G0-local,65,7,0.06897733286575466
G0-local,65,8,0.08773863338437948
G0-local,65,9,0.022874391222988136
G0-local,66,0,0.022744440067586427
G0-local,66,1,0.05261548886571914
G0-local,66,2,0.07187883550998952
G0-local,66,3,0.030840135128704652
G0-local,66,4,0.04610533607137514
G0-local,66,5,0.05124973110988558
G0-local,66,6,0.03829488166467002
G0-local,66,7,0.06579412366019131
G0-local,66,8,0.0918299086231457
G0-local,66,9,0.07751649892163329
G0-local,67,0,0.03583960696037729
G0-local,67,1,0.0708843371158863
G0-local,67,2,0.014823586246677534
G0-local,67,3,0.03207074587153129
G0-local,67,4,0.05643134919957928
G0-local,67,5,0.02080689135612794
G0-local,67,6,0.03236004860979086
G0-local,67,7,0.01615010491117401
G0-local,67,8,0.05249395580844082
G0-local,67,9,0.050833411106270446
G0-local,68,0,0.010281636685014368
G0-local,68,1,0.013922748751633362
G0-local,68,2,0.058780785988098404
G0-local,68,3,0.035486469890269545
G0-local,68,4,0.03507422812977671
G0-local,68,5,0.046673536484148695
G0-local,68,6,0.02581708298789295
G0-local,68,7,0.04134038382374761
G0-local,68,8,0.05926048062147806
G0-local,68,9,0.03828577815713609
G0-local,69,0,0.03973780622313422
G0-local,69,1,0.05000313802514717
G0-local,69,2,0.03449211576388839
G0-local,69,3,0.03832462251039403
G0-local,69,4,0.07495177721287802
G0-local,69,5,0.06111677542404023
G0-local,69,6,0.043715397839613576
G0-local,69,7,0.0736665912077573
G0-local,69,8,0.11382446697582607
G0-local,69,9,0.03696533623662829
G0-local,70,0,0.033530270360243294
G0-local,70,1,0.05427665403606504
G0-local,70,2,0.03166316074932226
G0-local,70,3,0.03572851336019696
G0-local,70,4,0.01906443643077455
G0-local,70,5,0.017651881352294552
G0-local,70,6,0.06140443866912083
G0-local,70,7,0.01517577857197591
G0-local,70,8,0.01689476522760699
G0-local,70,9,0.09411050921221366
G0-local,71,0,0.03960182051115066
G0-local,71,1,0.029795894062797437
G0-local,71,2,0.06395786043489492
G0-local,71,3,0.0752805824078258
G0-local,71,4,0.04998320438613342
G0-local,71,5,0.03965459707001356
G0-local,71,6,0.03132650226658955
G0-local,71,7,0.08119566681527847
G0-local,71,8,0.09002819790081204
G0-local,71,9,0.07594601648521367
G0-local,72,0,0.06738460156114964
G0-local,72,1,0.05753116250318332
G0-local,72,2,0.06462280137516167
G0-local,72,3,0.06861618341448789
G0-local,72,4,0.08110076136607336
G0-local,72,5,0.04618646971862349
G0-local,72,6,0.0697025880301902
G0-local,72,7,0.04867251364309669
G0-local,72,8,0.11263297918886764
G0-local,72,9,0.08266838683271463
G0-local,73,0,0.02771992311199356
G0-local,73,1,-0.0018951797394341113
G0-local,73,2,0.03361157001707878
G0-local,73,3,0.029863838175472255
G0-local,73,4,0.022696470349231692
G0-local,73,5,0.014987219450886156
G0-local,73,6,0.03290820428310996
G0-local,73,7,0.04546756537772405
G0-local,73,8,0.006830129261568824
G0-local,73,9,0.008860285315550142
G0-local,74,0,0.05403255896215747
G0-local,74,1,0.07802384338653325
G0-local,74,2,0.03797678902325903
G0-local,74,3,0.07183539654320187
G0-local,74,4,0.0349563023095214
G0-local,74,5,0.02192250781350431
G0-local,74,6,0.015469946635376975
G0-local,74,7,0.028830237962004297
G0-local,74,8,0.04095514157300092
G0-local,74,9,0.02074837928727492
G0-local,75,0,0.04897137109959164
G0-local,75,1,0.022129096129821932
G0-local,75,2,0.04385765565627297
G0-local,75,3,0.039679165401200985
G0-local,75,4,0.06002983126100718
G0-local,75,5,0.03271025393697462
G0-local,75,6,0.0339595949038092
G0-local,75,7,0.07768357698658174
G0-local,75,8,0.04964373449316036
G0-local,75,9,0.030810767481599388
G0-local,76,0,0.09850865213234622
G0-local,76,1,0.08846186945156789
G0-local,76,2,0.09599687979650362
G0-local,76,3,0.10803990242110276
G0-local,76,4,0.08384631384319562
G0-local,76,5,0.0831520592306261
G0-local,76,6,0.10231726705135838
G0-local,76,7,0.05191268044451651
G0-local,76,8,0.06573040489457821
G0-local,76,9,0.10207886304317833
G0-local,77,0,0.1008171053822365
G0-local,77,1,0.11020936460860964
G0-local,77,2,0.11352984616413485
G0-local,77,3,0.13510792228676874
G0-local,77,4,0.07012490628085669
