arm,index,session,length,covariance_RMSE,autocorr_lag1_MAE,autocorr_lag1_valid_channels,autocorr_lag10_MAE,autocorr_lag10_valid_channels,autocorr_lag30_MAE,autocorr_lag30_valid_channels
C2,21,session13,1020,0.032513462450794714,0.27280935851561444,12,0.14021086488786266,12,0.14512433148440654,12
C0,22,session13,935,0.03222578255936493,0.2520660671480185,16,0.2599002424177784,16,0.16020044290458302,16
C1,22,session13,935,0.026079132094034927,0.24100756591117684,16,0.1413627028207144,16,0.18162233530108285,16
C2,22,session13,935,0.025871252503522044,0.30264739806112806,16,0.14544607018275785,16,0.16976506692033577,16
C0,23,session13,1051,0.03915502903878377,0.3163385966789018,12,0.2989581440657267,12,0.2554043187776875,12
C1,23,session13,1051,0.03451907996096064,0.33132688778385283,12,0.16767859629056092,12,0.15447473725606764,12
C2,23,session13,1051,0.035080256353531916,0.41202285942338185,12,0.15374314767295483,12,0.1401219640953627,12
C0,24,session14,990,0.030493351066492827,0.0905601350974547,15,0.12038004642265804,15,0.1292342612156879,15
C1,24,session14,990,0.025403479981416715,0.22296894520478616,15,0.10537392988914056,15,0.16487942858279334,15
C2,24,session14,990,0.02487864352714572,0.3261839226140827,15,0.13010337030560723,15,0.1714174237996371,15
C0,25,session14,984,0.032655977046246024,0.11492918624492345,13,0.10670354684976228,13,0.10377370554771687,13
C1,25,session14,984,0.026345736534881013,0.24534844243480688,13,0.11148201918932378,13,0.14084427410534112,13
C2,25,session14,984,0.025805597438199525,0.37118851637158834,13,0.13030257323859898,13,0.11797450505227594,13
C0,26,session14,1413,0.030133403607783812,0.1360684662070723,13,0.1611851343843023,13,0.14645766816749284,13
C1,26,session14,1413,0.025302307313915837,0.217350382695815,13,0.1497593469358165,13,0.1792247965689005,13
C2,26,session14,1413,0.02369267459319828,0.3024677762176821,13,0.12514891311353377,13,0.15184483109067543,13
C0,27,session14,1256,0.026629430992968082,0.1299907766274605,13,0.141700090729221,13,0.12376528206623358,13
C1,27,session14,1256,0.020151603258384675,0.23110425092480474,13,0.18391308529728828,13,0.18478135662599826,13
C2,27,session14,1256,0.020946510799156885,0.2704741566531934,13,0.1461821279750462,13,0.18765383949186865,13
C0,28,session15,473,0.025230421004197104,0.19829399781857293,12,0.12111848045291317,12,0.10361722315849685,11
C1,28,session15,473,0.014657152518654877,0.2569528803716571,12,0.17547447677464065,12,0.17465683027242387,11
C2,28,session15,473,0.016181834964883637,0.4040677007822775,12,0.1688585813091594,12,0.1692866162576444,11
C0,29,session15,476,0.02492605585280118,0.26247627413630736,12,0.2269005534627111,12,0.1548941652914958,11
C1,29,session15,476,0.018402666945541706,0.3731681976992955,12,0.12413899649871017,12,0.11845839230568452,11
C2,29,session15,476,0.01858894657492005,0.3747668082226531,12,0.1366410473495698,12,0.21540825492124063,11
C0,30,session15,1232,0.02838498737795335,0.34350999136291305,13,0.33029168910298523,13,0.2571774879075708,11
C1,30,session15,1232,0.02304734858563804,0.3419271797314176,13,0.2162019768686079,13,0.238486416906549,11
C2,30,session15,1232,0.02269906600863245,0.37998497727100694,13,0.1933715525812187,13,0.23556991521632034,11
C0,31,session15,870,0.02338081923829798,0.18058122331348334,12,0.1345722498385517,12,0.12189967581118843,12
C1,31,session15,870,0.017342320438869664,0.23634296002657118,12,0.17783749312824437,12,0.1973696558640057,12
C2,31,session15,870,0.017794133081941707,0.3458905861841986,12,0.15091663210326756,12,0.17938166614364992,12
C0,32,session16,514,0.02685914050188298,0.2546342914123658,12,0.21210361343665626,12,0.12358198001696531,12
