pairing,model_minus_G0,source,group,r_contribution,scale_contribution,mean_contribution
A_native,T0,27,expression,-0.010781126147851136,-0.0014835445898182358,-0.005285472944537195
A_native,T0,28,expression,-0.03212787126746291,0.027000169217729787,-0.005338417047471062
A_native,T0,29,expression,0.009749307544507905,0.013010373710080203,-0.014515937922886041
A_native,T0,30,expression,-0.032595190898025525,0.0011677980851672715,0.0036545692238383228
A_native,T0,31,expression,-0.00960511839345464,-0.0031346081852736004,-0.00270068101296283
A_native,T0,32,expression,-0.05493142299543572,0.014580482437806935,0.012844740312465987
A_native,T0,33,expression,-0.04592097817318018,-0.004808830059236165,-0.0020067872940186856
A_native,T0,34,expression,0.015173630925408133,0.0034222779199835685,0.005368348999369798
A_native,T0,35,expression,0.009885440949765468,0.008961233045751416,0.013724476753122725
A_native,T0,36,expression,-0.07050262529673017,0.026772630434192767,0.012228192466238668
A_native,T0,37,expression,0.0050588475893707545,0.004290096860866591,0.0065652602727814
A_native,T0,38,expression,-0.04157284950256347,0.006822405478419727,-0.013847926130810975
A_native,T0,39,expression,-0.07111066915942024,0.023613059805508752,0.01847589159266868
A_native,T0,40,expression,-0.024021411896608186,0.0007200888016704043,0.005536194961394047
A_native,T0,41,expression,-0.009587004616631572,0.0003328316234736298,-0.004599452164102206
A_native,T0,42,expression,-0.024482655280607037,-0.004141990743913018,-0.0007564199330129358
A_native,T0,43,expression,-0.007973982374750745,0.015869188855010614,0.013110953230550088
A_native,T0,44,expression,-0.024754291667843993,-0.005893304434745722,-0.001220161417366027
A_native,T0,45,expression,-0.02679207290140123,0.003996936269238717,0.0022466886263216154
A_native,T0,46,expression,0.015427770316101352,0.006908812230038313,0.004515963185203216
A_native,T0,47,expression,0.0044535215312145136,0.008474666551056461,0.00757076486997525
A_native,T0,48,expression,0.008444185628419584,0.007586400732803851,0.002365014873685377
A_native,T0,49,expression,0.018066047147763838,0.000977896059374368,0.009827480692299963
A_native,T0,50,expression,-0.03864792552309115,-0.0013865638493280332,-0.015129354299405862
A_native,T0,51,expression,0.02400146077368471,0.003726521809469202,0.0029549445700422887
A_native,T0,52,expression,-0.0395817058170676,0.004162447707122441,-0.0026191179259114385
A_native,T0,53,expression,-0.04780506981375953,0.005091520589415402,0.004545094439931714
A_native,T0,54,expression,-0.02453825511854756,-0.004354694122043411,-0.005167108053570717
A_native,T0,55,expression,-0.025447564446534315,0.0012919253766685063,0.007546513253995422
A_native,T0,56,expression,0.012271502017469575,0.0028114668059112343,-0.0007159184504339088
A_native,T0,57,expression,-0.029720424937584845,0.02237838897673435,-0.005430492212521082
A_native,T0,58,expression,0.023150874678154357,0.009004001602473782,0.0031693949205891013
A_native,T0,59,expression,-0.0015922319747532388,0.020030070629649087,0.010020859797577487
A_native,T0,60,expression,-0.0063073239628468475,0.0030851469816219616,0.007069826956181779
A_native,T0,61,expression,-0.010177964178794888,0.005998185696568918,-0.0018048179784074109
A_native,T0,62,expression,-0.007407189444865318,-6.779257529473948e-05,-0.0031908002291681594
A_native,T0,63,expression,-0.02611635611425046,0.00223255693644809,-0.001080964638842382
A_native,T0,64,expression,-0.006492666470815503,0.00046441592910510305,-0.0012690540562758583
A_native,T0,65,expression,-0.0013696727045706728,-0.00014425912323484002,-0.0028892500029740254
A_native,T0,66,expression,-0.0038642607266959283,-0.0019911330157541124,4.980184871118342e-05
A_native,T0,67,expression,0.002844953088247517,6.244583775409582e-05,0.0038399048496104288
A_native,T0,68,expression,0.0008391026411410585,-0.0018147296653969768,0.005412647163414236
A_native,T0,69,expression,-0.026966837060113456,-0.01965836186162416,0.0025510672327108555
A_native,T0,70,expression,-0.008104144451446976,0.02241650476666735,0.011976377581616227
A_native,T0,71,expression,-0.03913473614379274,-0.0032521620212294282,0.0033330034203651417
A_native,T0,72,expression,0.001830295706593124,0.008317867554441041,0.0001881011417747415
