model,source,group,candidate_covariance,correlation,undefined_fraction
G1-shared,26,VA,0.010116232009434652,0.9835070509250607,0.0
G1-shared,26,expression,0.026651323682677242,0.9118350498475924,0.0
G1-shared,27,AU,0.010533840538386689,0.6123459264540336,0.0
G1-shared,27,VA,0.005029645788904262,0.9465076583824865,0.0
G1-shared,27,expression,0.01896469458422914,0.8551790588769396,0.0
G1-shared,30,AU,0.022337553389346166,0.7080431516868428,0.0
G1-shared,30,VA,0.005576624799656746,0.9618248474960525,0.0
G1-shared,30,expression,0.011285720074597182,0.8379169854648818,0.0
G1-shared,31,AU,0.01164752346622048,0.6102860161206851,0.0
G1-shared,31,VA,0.0055226826823022305,0.86242031732866,0.0
G1-shared,31,expression,0.008809017043638914,0.7405018280637912,0.0
G1-shared,34,AU,0.01417143502552124,0.6898083433142583,0.0
G1-shared,34,VA,0.016085202336895307,0.967594753123032,0.0
G1-shared,34,expression,0.03152929572480909,0.8326322721723963,0.0
G1-shared,42,AU,0.019777831386663794,0.5560627061810565,0.0
G1-shared,42,VA,0.011720901252294743,0.9681067467694608,0.0
G1-shared,42,expression,0.033055383155648724,0.9259653567234862,0.0
G1-shared,43,AU,0.011058732839058012,0.7585593210357289,0.0
G1-shared,43,VA,0.01179336443775967,0.96822943892854,0.0
G1-shared,43,expression,0.008603333340105119,0.8421559122149606,0.0
G1-shared,44,AU,0.02503231782710076,0.7395258514437916,0.0
G1-shared,44,VA,0.014976353387903443,0.9459594678511797,0.0
G1-shared,44,expression,0.020034428216896768,0.7825879093218463,0.0
G1-shared,45,AU,0.018840469663416095,0.6081593824165211,0.0
G1-shared,45,VA,0.015129116592149576,0.739417112671796,0.0
G1-shared,45,expression,0.014557570172300895,0.5805415732967845,0.0
G1-shared,46,AU,0.01456283398265772,0.7521413478694582,0.0
G1-shared,46,VA,0.01109931381128984,0.9681798461949673,0.0
G1-shared,46,expression,0.016627146242471743,0.8947520144028983,0.0
G1-shared,47,AU,0.013535003934701733,0.7125178653930497,0.0
G1-shared,47,VA,0.004575808064404041,0.8616324205101757,0.0
G1-shared,47,expression,0.017334079350268698,0.8226349775610845,0.0
G1-shared,48,AU,0.01252278822109331,0.8333739671796646,0.0
G1-shared,48,VA,0.005093210277793516,0.889405425381782,0.0
G1-shared,48,expression,0.011849500582220906,0.6888468544728071,0.0
G1-shared,49,AU,0.020982896802676603,0.8591276894533466,0.0
G1-shared,49,VA,0.007169117212329124,0.9603317620043885,0.0
G1-shared,49,expression,0.0274071192729316,0.8962858100480502,0.0
G1-shared,50,AU,0.014584468745128634,0.8339450695230208,0.0
