pairing,model,source,candidate,target,target_switched,ccc
A_native,G0-local,3,3,5,0,0.0894136235534468
A_native,G0-local,3,4,0,0,0.10255341082988409
A_native,G0-local,3,5,0,0,0.03013617047617754
A_native,G0-local,3,6,4,0,0.056998680076233564
A_native,G0-local,3,7,9,0,0.12156608521867321
A_native,G0-local,3,8,5,0,0.06291706967997039
A_native,G0-local,3,9,0,0,0.07986481800647022
B_fixed_G0,G0-local,3,0,6,0,0.04438939583632756
B_fixed_G0,G0-local,3,1,9,0,0.07513208091719079
B_fixed_G0,G0-local,3,2,5,0,0.10281825771203437
B_fixed_G0,G0-local,3,3,5,0,0.0894136235534468
B_fixed_G0,G0-local,3,4,0,0,0.10255341082988409
B_fixed_G0,G0-local,3,5,0,0,0.03013617047617754
B_fixed_G0,G0-local,3,6,4,0,0.056998680076233564
B_fixed_G0,G0-local,3,7,9,0,0.12156608521867321
B_fixed_G0,G0-local,3,8,5,0,0.06291706967997039
B_fixed_G0,G0-local,3,9,0,0,0.07986481800647022
A_native,G1-shared,3,0,1,1,0.03387320391240306
A_native,G1-shared,3,1,1,1,0.04728917827394815
A_native,G1-shared,3,2,8,1,0.021087219520795963
A_native,G1-shared,3,3,2,1,0.013887634735460975
A_native,G1-shared,3,4,6,1,0.01122481525217474
A_native,G1-shared,3,5,1,1,0.028859162054478086
A_native,G1-shared,3,6,4,0,0.0356839513171419
A_native,G1-shared,3,7,8,1,0.06797266929806392
A_native,G1-shared,3,8,1,1,0.04736375060985965
A_native,G1-shared,3,9,7,1,0.037207386723604144
B_fixed_G0,G1-shared,3,0,6,1,0.023185104915666693
B_fixed_G0,G1-shared,3,1,9,1,-0.0360700901725138
B_fixed_G0,G1-shared,3,2,5,1,-0.016353485057246694
B_fixed_G0,G1-shared,3,3,5,1,-0.02898273677113125
B_fixed_G0,G1-shared,3,4,0,1,-0.005966133231322398
B_fixed_G0,G1-shared,3,5,0,1,-0.009906329990338834
B_fixed_G0,G1-shared,3,6,4,0,0.0356839513171419
B_fixed_G0,G1-shared,3,7,9,1,0.04465955113929414
B_fixed_G0,G1-shared,3,8,5,1,-0.040318543201176074
B_fixed_G0,G1-shared,3,9,0,1,0.03363754840024442
A_native,T0,4,0,7,0,0.13945386840061927
A_native,T0,4,1,5,0,0.09761557945269139
A_native,T0,4,2,0,0,0.13971871380445816
A_native,T0,4,3,7,0,0.09123959477540161
A_native,T0,4,4,5,0,0.07851989196500501
A_native,T0,4,5,0,1,0.1539279943121682
A_native,T0,4,6,7,1,0.05863010405149021
A_native,T0,4,7,0,1,0.11087140618867379
A_native,T0,4,8,3,0,0.16592573505281802
A_native,T0,4,9,0,1,0.15945573056956747
B_fixed_G0,T0,4,0,7,0,0.13945386840061927
B_fixed_G0,T0,4,1,5,0,0.09761557945269139
B_fixed_G0,T0,4,2,0,0,0.13971871380445816
B_fixed_G0,T0,4,3,7,0,0.09123959477540161
B_fixed_G0,T0,4,4,5,0,0.07851989196500501
B_fixed_G0,T0,4,5,6,1,0.040975686282026746
B_fixed_G0,T0,4,6,5,1,0.047040475714152256
B_fixed_G0,T0,4,7,6,1,0.03560965615670869
B_fixed_G0,T0,4,8,3,0,0.16592573505281802
B_fixed_G0,T0,4,9,6,1,0.06403435310757921
A_native,G0-local,4,0,7,0,0.14756301504128355
A_native,G0-local,4,1,5,0,0.09166205342760722
A_native,G0-local,4,2,0,0,0.12264010929428587
A_native,G0-local,4,3,7,0,0.07865733803248519
A_native,G0-local,4,4,5,0,0.08340520038562767
A_native,G0-local,4,5,6,0,0.1402148947519547
A_native,G0-local,4,6,5,0,0.07336723774252951
A_native,G0-local,4,7,6,0,0.09308526865735961
A_native,G0-local,4,8,3,0,0.16102940316810055
A_native,G0-local,4,9,6,0,0.1315724051853678
B_fixed_G0,G0-local,4,0,7,0,0.14756301504128355
B_fixed_G0,G0-local,4,1,5,0,0.09166205342760722
B_fixed_G0,G0-local,4,2,0,0,0.12264010929428587
B_fixed_G0,G0-local,4,3,7,0,0.07865733803248519
B_fixed_G0,G0-local,4,4,5,0,0.08340520038562767
B_fixed_G0,G0-local,4,5,6,0,0.1402148947519547
B_fixed_G0,G0-local,4,6,5,0,0.07336723774252951
B_fixed_G0,G0-local,4,7,6,0,0.09308526865735961
B_fixed_G0,G0-local,4,8,3,0,0.16102940316810055
B_fixed_G0,G0-local,4,9,6,0,0.1315724051853678
A_native,G1-shared,4,0,7,0,0.10902029518592261
A_native,G1-shared,4,1,7,1,0.11816791138122294
A_native,G1-shared,4,2,3,1,0.09786322597612943
A_native,G1-shared,4,3,0,1,0.07164500611999641
A_native,G1-shared,4,4,7,1,0.05627617485470957
A_native,G1-shared,4,5,0,1,0.05561114901369029
A_native,G1-shared,4,6,7,1,0.04176369579898707
A_native,G1-shared,4,7,0,1,0.08775031006482521
A_native,G1-shared,4,8,0,1,0.13864882933531228
A_native,G1-shared,4,9,3,1,0.06656272545223932
B_fixed_G0,G1-shared,4,0,7,0,0.10902029518592261
B_fixed_G0,G1-shared,4,1,5,1,0.03446575841970359
B_fixed_G0,G1-shared,4,2,0,1,0.09384173982252744
B_fixed_G0,G1-shared,4,3,7,1,0.05562114261461649
B_fixed_G0,G1-shared,4,4,5,1,0.028760229061296983
B_fixed_G0,G1-shared,4,5,6,1,0.038820846216959116
B_fixed_G0,G1-shared,4,6,5,1,0.002991747808503257
B_fixed_G0,G1-shared,4,7,6,1,0.01062514355850843
B_fixed_G0,G1-shared,4,8,3,1,0.12157016440206073
B_fixed_G0,G1-shared,4,9,6,1,0.01175089013022292
A_native,T0,5,0,0,1,0.10612472254905674
A_native,T0,5,1,0,1,0.13072463715249585
A_native,T0,5,2,7,0,0.1030813604086337
A_native,T0,5,3,1,1,0.12835782470308532
A_native,T0,5,4,0,0,0.16138648494433358
A_native,T0,5,5,7,1,0.09974454077741225
A_native,T0,5,6,0,0,0.11469399526205123
A_native,T0,5,7,7,0,0.12867963662982962
A_native,T0,5,8,0,1,0.09189112574679711
A_native,T0,5,9,0,1,0.13063888341622268
B_fixed_G0,T0,5,0,7,1,0.09406112331745009
B_fixed_G0,T0,5,1,7,1,0.06500539743825026
B_fixed_G0,T0,5,2,7,0,0.1030813604086337
B_fixed_G0,T0,5,3,2,1,0.10993972827949204
B_fixed_G0,T0,5,4,0,0,0.16138648494433358
B_fixed_G0,T0,5,5,2,1,0.09400509680760233
B_fixed_G0,T0,5,6,0,0,0.11469399526205123
B_fixed_G0,T0,5,7,7,0,0.12867963662982962
B_fixed_G0,T0,5,8,7,1,0.06510879674006116
B_fixed_G0,T0,5,9,7,1,0.08375266031823714
A_native,G0-local,5,0,7,0,0.11985464139266284
A_native,G0-local,5,1,7,0,0.12929163306949623
A_native,G0-local,5,2,7,0,0.10608418731779494
A_native,G0-local,5,3,2,0,0.13286460075138926
A_native,G0-local,5,4,0,0,0.14468054502675923
A_native,G0-local,5,5,2,0,0.13740471586062317
