pairing,model,source,group,ccc,GT_zero_mean_ccc,mean_mismatch,mean_fraction,std_ratio,scale_factor,mean_factor,pearson_r,constant_p,constant_y,pearson_undefined_fraction,pearson_r_within_q10,pearson_r_within_q50,pearson_r_within_q90,std_ratio_within_q10,std_ratio_within_q50,std_ratio_within_q90
A_native,G1-shared,24,expression,0.12124474505621592,0.14334452914907675,0.04037229496208643,0.15244469666092336,3.887361856250209,0.578467852426902,0.8475553033390767,0.16233936940833626,0.0,0.0,0.0,-0.04364671050346873,0.07597304148969011,0.5306922123682568,0.0314714564010501,0.9755626916885376,6.8063234329223645
A_native,G1-shared,24,all,0.11828201703428458,0.15023351462117518,0.06591715257172596,0.21572124919569305,1.9911296825848337,0.534277973075589,0.7842787508043068,0.19865707028281085,0.0,0.184,0.18400000000000005,-0.043535933055034164,0.17299845849168494,0.5173357974330131,0.00016408040246460595,0.8664534389972687,4.019631600379944
B_fixed_G0,G1-shared,24,AU,0.10056897235855343,0.12870477721355025,0.08063317351573879,0.24760766145892646,0.8033425051445826,0.4798764451697406,0.7523923385410736,0.19449220469229406,0.0,0.25333333333333335,0.2533333333333333,-0.03195004997236247,0.17377134721370696,0.4641574031894773,2.9973624077683797e-05,0.7159108817577362,1.3215203166007996
B_fixed_G0,G1-shared,24,VA,0.1323880937851742,0.17768530353149686,0.09911987198563145,0.31795725470846503,0.6336293578147888,0.8428039678017042,0.682042745291535,0.21501693043589562,0.0,0.0,0.0,0.05685648606258523,0.2214094504058005,0.40722379962124683,0.3949056088924408,0.5568120777606964,1.0479495048522949
B_fixed_G0,G1-shared,24,expression,0.07913953872574078,0.10378553460546876,0.05508486199141395,0.16608091706945927,3.4817967784940267,0.5278186159279956,0.8339190829305408,0.11709737184392817,0.0,0.0,0.0,-0.0724514142167147,0.04380326310464283,0.41251090714436484,0.0320455526933074,0.7891705334186554,6.8063234329223645
B_fixed_G0,G1-shared,24,all,0.09625708331018304,0.1246490616843999,0.07393664970554625,0.22714707071426002,1.7980692925094865,0.5242521416229392,0.7728529292857399,0.16722290227249573,0.0,0.152,0.15200000000000002,-0.055158068671600745,0.11799805226504721,0.46284114742139326,0.00025990845897467835,0.7030413746833801,2.31472716331482
A_native,T0,25,AU,0.1642357994668994,0.19063502719567557,0.04395294315313026,0.20529266322763265,0.7763182574063103,0.5085633172501522,0.7947073367723673,0.30639730004252547,0.0,0.3333333333333333,0.33333333333333337,-0.0158870003992287,0.382482924838591,0.6176072090255035,0.00024333138862857597,0.9686874747276306,1.1234926104545593
A_native,T0,25,VA,0.10714699636279756,0.21374615109740863,0.14361534296099604,0.5263455809251801,0.7127232104539871,0.8951957348741209,0.47365441907481987,0.2456976216348114,0.0,0.0,0.0,0.006531304303660548,0.24589284775567144,0.49047680026405044,0.48682538866996766,0.6206180155277252,0.9833983182907107
A_native,T0,25,expression,0.12379804420795,0.14136776465656842,0.03201949166724379,0.13844801120034603,7.352512976445723,0.5313812047082547,0.8615519887996541,0.17083757399178431,0.0,0.0,0.0,-0.08450699774621862,0.09495907388320625,0.5272701067371189,0.14406521096825603,1.009846806526184,15.25219411849977
A_native,T0,25,all,0.14672861353570743,0.1767183930952999,0.04810723066227585,0.20958660799470474,3.400436640326843,0.5467956346466624,0.7904133920052953,0.2461034417814576,0.0,0.2,0.19999999999999996,-0.042213109012778485,0.20437744321363488,0.5881538878089195,0.04036339148879054,0.9336771070957184,6.335225391387938
B_fixed_G0,T0,25,AU,0.12482551388087818,0.13252726594023878,0.0259713940508939,0.15866652619995458,0.7395040924169669,0.5316159058822062,0.8413334738000453,0.1940086291690189,0.0,0.25333333333333335,0.2533333333333333,-0.07141171050983469,0.21041186496709613,0.4894076914023955,5.035419126215857e-05,0.9404818713665009,1.2224614858627325
B_fixed_G0,T0,25,VA,0.07214668511774935,0.0919679148317015,0.03301108330407947,0.1368123111936134,0.5666121795773507,0.8191884372554759,0.8631876888063866,0.10898265279679378,0.0,0.0,0.0,-0.07084011844444628,0.07990472521673529,0.31972457024552375,0.3853973537683487,0.5346410870552063,0.7054736375808717
B_fixed_G0,T0,25,expression,0.08945804629776519,0.09987384111257062,0.016764616829157426,0.08714870740460272,2.409465029969579,0.6159063997171479,0.9128512925953973,0.10474941300908962,0.0,0.0,0.0,-0.07228533055808298,0.0035076696200684408,0.4562101546608565,0.0755335807800293,0.7459810972213745,3.771227002143861
B_fixed_G0,T0,25,all,0.10929361795323173,0.118833421906702,0.023588400480193072,0.1340324869849347,1.3533674733010075,0.5815946664192493,0.8659675130150654,0.1523045875641187,0.0,0.152,0.15200000000000002,-0.07281769250546297,0.09723777778094225,0.48357300056688907,0.009304608404636398,0.8093656599521637,1.4137333035469057
A_native,G0-local,25,AU,0.17205517517495225,0.18270171736224314,0.026833203223697037,0.16941993552137946,0.6187018950724743,0.4885719392243695,0.8305800644786204,0.2696325376179857,0.0,0.25333333333333335,0.2533333333333333,-0.08225227742485025,0.3314146196974337,0.5610858135561464,2.1568599549937065e-05,0.8510179817676544,1.029582667350769
A_native,G0-local,25,VA,0.1264148591521913,0.16160514131723724,0.03828256848592494,0.15035287447241039,0.49347926676273346,0.7811178071804632,0.8496471255275896,0.20778975652716108,0.0,0.0,0.0,-0.01875996393166952,0.20396488685784137,0.41857081097992915,0.44260151982307433,0.47841863334178925,0.5356318950653078
A_native,G0-local,25,expression,0.11857411445693411,0.13702526152026068,0.0203558609252233,0.10542675946042017,0.9888693985559257,0.5762392127409693,0.8945732405395799,0.17539804990213675,0.0,0.0,0.0,-0.03847606968973603,0.11681836938774831,0.4796876518192512,0.0050863755284808595,0.5643320977687836,1.7191744685173058
A_native,G0-local,25,all,0.15129001046336554,0.16639752540920824,0.025676402909163676,0.14741675429795498,0.7465742899426691,0.5400291361861689,0.852583245702045,0.22823812894305928,0.0,0.152,0.15200000000000002,-0.05462184464130882,0.2233028932547522,0.528891192675005,6.768836683477276e-05,0.5765734016895294,1.1080493807792664
B_fixed_G0,G0-local,25,AU,0.17205517517495225,0.18270171736224314,0.026833203223697037,0.16941993552137946,0.6187018950724743,0.4885719392243695,0.8305800644786204,0.2696325376179857,0.0,0.25333333333333335,0.2533333333333333,-0.08225227742485025,0.3314146196974337,0.5610858135561464,2.1568599549937065e-05,0.8510179817676544,1.029582667350769
