pairing,comparison,group,source,r_contribution,scale_contribution,mean_contribution
A_native,G1-minus-T0,VA,24,0.0019185518241844148,-0.0073385681696989296,0.01562280419811366
A_native,G1-minus-T0,VA,25,0.004304883120566959,-0.010651669448417125,0.036577125971328464
A_native,G1-minus-T0,VA,26,0.01080144063481557,-0.015036391986302761,0.044767093003097225
A_native,G1-minus-T0,VA,27,0.10139448985635931,-0.013193684267207314,-0.003472664818038637
A_native,G1-minus-T0,VA,28,0.04299268968258116,-0.007351507632226711,-0.011190258754543776
A_native,G1-minus-T0,VA,29,-0.0038218287415877515,0.007858743735259115,0.02325198562337861
A_native,G1-minus-T0,VA,30,-0.035591500372859394,0.0038017483276935396,-0.049538192269347955
A_native,G1-minus-T0,VA,31,0.018017264738991658,-0.009100953120072627,0.017232219213519702
A_native,G1-minus-T0,VA,32,0.09818599977628666,-0.0013863178562956613,-0.019169906847965573
A_native,G1-minus-T0,VA,33,0.016238074671939818,0.0038562541576426927,0.021311005974562893
A_native,G1-minus-T0,VA,34,0.007333812291566544,-0.01750282019014931,0.01111744481208676
A_native,G1-minus-T0,VA,35,0.010803955331298151,-0.004069293492093389,0.00445927997227265
A_native,G1-minus-T0,VA,36,0.07932347974336508,-0.02308340713470877,-0.024305659879204456
A_native,G1-minus-T0,VA,37,0.0534264827465028,0.006978595570895146,0.007665053259082853
A_native,G1-minus-T0,VA,38,0.03790639947013337,-0.010279622143609893,0.04491427668033919
A_native,G1-minus-T0,VA,39,0.054594409215755216,-0.04470553114571062,0.02493294726542821
A_native,G1-minus-T0,VA,40,-0.0017369406042150668,0.002375196061147365,0.0011015400161155388
A_native,G1-minus-T0,VA,41,0.03879577474631739,-0.026318786963812475,-0.024151366703072583
A_native,G1-minus-T0,VA,42,0.005233996351278336,-0.015382852100484656,-0.016458176552550514
A_native,G1-minus-T0,VA,43,-0.05307662458413389,0.0027560428724976776,-0.01194708963289224
A_native,G1-minus-T0,VA,44,0.041051844925335465,-0.013270329162919595,-0.014373075632114093
A_native,G1-minus-T0,VA,45,-0.002689580273410426,-0.0013208067777139667,-0.006919565050319756
A_native,G1-minus-T0,VA,46,-0.06123360647992856,-0.001277968828295668,-0.01850214227311945
A_native,G1-minus-T0,VA,47,-0.03482233337093693,-0.00645465624886174,-0.013749199251838106
A_native,G1-minus-T0,VA,48,-0.06173636863394333,-0.0033239670914952447,-0.008573541178582894
A_native,G1-minus-T0,VA,49,-0.005660714610670906,-0.002303616086601311,-0.022116878522922993
A_native,G1-minus-T0,VA,50,-0.03340851157507776,-0.013246439510611904,-0.026583572107295644
A_native,G1-minus-T0,VA,51,-0.09766397826071646,-0.007292063487488695,-0.019262170463784662
A_native,G1-minus-T0,VA,52,0.034982810580106286,0.00875163498354489,0.009545402241169594
A_native,G1-minus-T0,VA,53,0.005286297813813879,-0.004148957619231033,-0.007124544974121028
A_native,G1-minus-T0,VA,54,0.008887947038900109,-0.006580917766067422,-0.004753916385064665
A_native,G1-minus-T0,VA,55,0.05311070342924671,-0.007898823759644128,-0.0035787174312635005
A_native,G1-minus-T0,VA,56,-0.047588858194432655,-0.011334387015336702,0.01136358026521539
A_native,G1-minus-T0,VA,57,-0.008794279318313048,-0.006946781120708012,0.022266050571707822
A_native,G1-minus-T0,VA,58,-0.006720973491160615,-0.009292298391491613,0.02235316448766704
A_native,G1-minus-T0,VA,59,-0.014289728101799005,-0.008703643103441825,0.004683690567947696
A_native,G1-minus-T0,VA,60,-0.0017746443804976958,-0.008471142453957376,-0.013261997961202702
A_native,G1-minus-T0,VA,61,-0.015652437808448123,-0.003995803047632083,-0.023847770969638336
A_native,G1-minus-T0,VA,62,0.008840679205525368,-0.008829876946388433,-0.005189449986724464
A_native,G1-minus-T0,VA,63,-0.02500001596841648,-0.001866409456544951,-0.028485832971986695
A_native,G1-minus-T0,VA,64,0.02000805273910888,-0.0001739145786763218,0.031920116558011684
A_native,G1-minus-T0,VA,65,-0.054179328379000656,-0.0066808997873570395,0.0061609000337133416
A_native,G1-minus-T0,VA,66,0.0018676914471968484,-0.0028684761956537493,-0.006246087192638255
A_native,G1-minus-T0,VA,67,0.018268025847849055,-0.0006387873842071944,-0.0176660107568203
A_native,G1-minus-T0,VA,68,-0.01389227729431274,-0.00042933814010051656,-0.002949633936466828
A_native,G1-minus-T0,VA,69,4.06691135590824e-06,0.014365654474825037,-0.010977957298415955
A_native,G1-minus-T0,VA,70,0.049731767041145396,-0.0004007329195161128,8.128046605043079e-05
A_native,G1-minus-T0,VA,71,-0.015098177825418696,0.003825972991928244,-0.01209936931829587
A_native,G1-minus-T0,VA,72,-0.03116739874209336,-0.00462629953489856,0.0020004895237310596
A_native,G1-minus-T0,VA,73,-0.04614355044654356,-0.00438867276164088,-0.0155835091089692
A_native,G1-minus-T0,VA,74,-0.005665438524488912,-0.0022658788552118196,-0.006706303945869757
A_native,G1-minus-T0,VA,75,0.000614381294001605,-0.0018762010033161584,-0.007237504809984559
A_native,G1-minus-T0,VA,76,0.015980606594638222,0.004109960284066201,-0.0020550330429003473
A_native,G1-minus-T0,VA,77,-0.0005644844655039068,-0.011644339032336422,-0.01318924002043706
A_native,G1-minus-T0,VA,78,-0.005379768766246479,-0.0008640844328880612,-0.005038313925889772
A_native,G1-minus-T0,VA,79,0.029464379569819676,0.006316703611546857,0.003755596085647296
