model,source,group,left_block,right_block,left_frames,right_frames,candidate_covariance,correlation,undefined_fraction
G1-shared,14,expression,0,1,750,750,0.006018451359523373,0.7941826402766491,0.0
G1-shared,14,expression,1,2,750,750,0.007988876130743318,0.8186972887767396,0.0
G1-shared,14,expression,2,3,750,750,0.006857022895525706,0.880479508405475,0.0
G1-shared,14,expression,3,4,750,750,0.004636355327403848,0.9085005466422443,0.0
G1-shared,14,expression,4,5,750,660,0.004495005818784551,0.8451237629707908,0.0
T0,15,AU,0,1,750,750,0.0019439955529599138,0.007857049161519277,0.0
T0,15,AU,1,2,750,480,-0.0002148620383686442,0.02463433098004987,0.0
T0,15,VA,0,1,750,750,-1.454254571266677e-05,-0.04588054229771719,0.0
T0,15,VA,1,2,750,480,0.000844517818388313,0.1900586144730652,0.0
T0,15,expression,0,1,750,750,-0.00022368402859089613,-0.019708638923173247,0.0
T0,15,expression,1,2,750,480,0.002954580765992722,0.01587380859365787,0.0
G0-local,15,AU,0,1,750,750,0.0006315977548917909,0.00801573659262667,0.0
G0-local,15,AU,1,2,750,480,0.0001336782899709494,0.02853580944559208,0.0
G0-local,15,VA,0,1,750,750,-2.2841029026424907e-05,-0.0665268773700987,0.0
G0-local,15,VA,1,2,750,480,-9.656887313816813e-08,-0.0122684446686584,0.0
G0-local,15,expression,0,1,750,750,-0.0012058087058387556,-0.1508876684941241,0.0
G0-local,15,expression,1,2,750,480,0.0006813265172172413,-0.030835023939201373,0.0
G1-shared,15,AU,0,1,750,750,0.018300567551627924,0.8070831714462112,0.0
G1-shared,15,AU,1,2,750,480,0.023495211302660534,0.890829840361706,0.0
G1-shared,15,VA,0,1,750,750,0.00829295878261614,0.9708357772472178,0.0
G1-shared,15,VA,1,2,750,480,0.009148880551411304,0.9551122086347725,0.0
G1-shared,15,expression,0,1,750,750,0.031779546947325155,0.8291648725214383,0.0
G1-shared,15,expression,1,2,750,480,0.03409918787898302,0.9176595400603891,0.0
T0,16,AU,0,1,750,335,0.00411919935527682,0.14847496125267645,0.0
T0,16,VA,0,1,750,335,0.0003895075122944783,0.18163442216511164,0.0
T0,16,expression,0,1,750,335,0.002256101689268887,0.22043237396416704,0.0
G0-local,16,AU,0,1,750,335,0.0008442421202854243,0.07031703681838022,0.0
G0-local,16,VA,0,1,750,335,0.00010707305515282962,0.13958568679684405,0.0
G0-local,16,expression,0,1,750,335,0.0008971702881732081,0.128823785978922,0.0
G1-shared,16,AU,0,1,750,335,0.0179916751091275,0.7922544457786617,0.0
G1-shared,16,VA,0,1,750,335,0.00907673876528959,0.9640136164596724,0.0
G1-shared,16,expression,0,1,750,335,0.015167245787868853,0.8665616057343308,0.0
T0,17,AU,0,1,750,750,-0.0006265960980490009,-0.07012039563885734,0.0
T0,17,AU,1,2,750,750,0.0035402701564050164,0.1198533900911561,0.0
T0,17,AU,2,3,750,750,0.0007720225464908065,-0.09746284380112917,0.0
T0,17,AU,3,4,750,750,-0.002032160079201648,-0.10101060552637042,0.0
T0,17,AU,4,5,750,96,0.005652214839256649,0.017567186577919097,0.0
T0,17,VA,0,1,750,750,-0.00010056999314759122,-0.05823601412578973,0.0
T0,17,VA,1,2,750,750,0.00032586783881638514,0.17830495586409434,0.0
T0,17,VA,2,3,750,750,-7.588631056341549e-05,-0.11343906247039652,0.0
T0,17,VA,3,4,750,750,-0.0008327056195252835,-0.38777725900066345,0.0
T0,17,VA,4,5,750,96,-0.001831769154841061,-0.33616598296604766,0.0
