model,source,group,left_block,right_block,left_frames,right_frames,candidate_covariance,correlation,undefined_fraction
G1-shared,12,VA,0,1,750,750,0.009718263705032806,0.9873661996065288,0.0
G1-shared,12,VA,1,2,750,750,0.01093594747041354,0.9808131573026311,0.0
G1-shared,12,VA,2,3,750,750,0.011512008856949328,0.9344149481908658,0.0
G1-shared,12,VA,3,4,750,750,0.011703319802127615,0.9171389486373236,0.0
G1-shared,12,VA,4,5,750,397,0.010635025059703576,0.8673361010706944,0.0
G1-shared,12,expression,0,1,750,750,0.01705287199107378,0.8832543243047577,0.0
G1-shared,12,expression,1,2,750,750,0.02540603812751955,0.8980453730304614,0.0
G1-shared,12,expression,2,3,750,750,0.023199212685775114,0.8301808177086112,0.0
G1-shared,12,expression,3,4,750,750,0.023256306695189202,0.8350802875741963,0.0
G1-shared,12,expression,4,5,750,397,0.02232519118021694,0.7961376889196139,0.0
T0,13,AU,0,1,750,750,-0.003262829838056939,-0.24064561780726051,0.0
T0,13,AU,1,2,750,750,0.00017350679144829736,-0.05183807670319406,0.0
T0,13,AU,2,3,750,750,5.971326270371046e-05,0.058319083735894305,0.0
T0,13,AU,3,4,750,750,0.0024280148120023434,-0.15774810612597737,0.0
T0,13,AU,4,5,750,750,0.00016330548817651723,-0.0681870400655742,0.0
T0,13,AU,5,6,750,276,0.001915510379989162,0.13276878617848756,0.0
T0,13,VA,0,1,750,750,-0.0007009150628630956,-0.39701434470740976,0.0
T0,13,VA,1,2,750,750,0.0009372808017892735,0.3053478129545883,0.0
T0,13,VA,2,3,750,750,-0.00019601736269968275,-0.0059664730306877856,0.0
T0,13,VA,3,4,750,750,0.00017729216428545496,0.06359950378573472,0.0
T0,13,VA,4,5,750,750,6.417014776557718e-05,0.08996051781786144,0.0
T0,13,VA,5,6,750,276,0.0008105619859335905,0.1780003573438285,0.0
T0,13,expression,0,1,750,750,0.00013202442226968104,-0.01567572010148346,0.0
T0,13,expression,1,2,750,750,-0.0012230259669966854,0.02507380974653954,0.0
T0,13,expression,2,3,750,750,0.0008336443315277985,0.12489179846421197,0.0
T0,13,expression,3,4,750,750,-0.0016197029145495283,-0.1912655386507699,0.0
T0,13,expression,4,5,750,750,0.0016681172595557536,-0.02880175932739766,0.0
T0,13,expression,5,6,750,276,0.001222464565328011,0.12870743383392425,0.0
G0-local,13,AU,0,1,750,750,-0.002154284732151915,-0.20353950248396882,0.0
G0-local,13,AU,1,2,750,750,-0.0022648371243312285,-0.10217200399978638,0.0
G0-local,13,AU,2,3,750,750,0.0011680704804067014,0.072186648170342,0.0
G0-local,13,AU,3,4,750,750,-0.002759980876504318,-0.25521401176509917,0.0
G0-local,13,AU,4,5,750,750,0.001175633270102141,0.061629299851575566,0.0
G0-local,13,AU,5,6,750,276,0.0033482314472705723,0.054708487100551755,0.0
G0-local,13,VA,0,1,750,750,-0.00028086748727345327,-0.3605073032123821,0.0
G0-local,13,VA,1,2,750,750,0.0003607511858168422,0.27417535305533725,0.0
G0-local,13,VA,2,3,750,750,-0.00025032568764324825,-0.01296399543440116,0.0
G0-local,13,VA,3,4,750,750,-7.929262485278086e-05,-0.07181732087643447,0.0
G0-local,13,VA,4,5,750,750,7.160348099509816e-05,0.08997020442863192,0.0
G0-local,13,VA,5,6,750,276,0.0007789465806678583,0.31059110578461346,0.0
G0-local,13,expression,0,1,750,750,0.0008470904779740917,-0.0689013215014809,0.0
