source,group,left_block,right_block,left_frames,right_frames,candidate_covariance,correlation
68,VA,0,1,750,750,0.009255288527411544,0.9386552234500929
68,VA,1,2,750,750,0.010050412955102327,1.272196046710132
68,VA,2,3,750,750,0.01134175382212303,1.0148257732405832
68,VA,3,4,750,750,0.012634103661491789,1.071633641236108
68,VA,4,5,750,750,0.011728753448499893,0.9642387076236495
68,VA,5,6,750,58,0.007523490247857131,0.7203070438571294
68,expression,0,1,750,750,0.026133130447924667,0.6211937306294344
68,expression,1,2,750,750,0.0320226937463277,0.8926185768055942
68,expression,2,3,750,750,0.034709893319142135,0.8984974766424759
68,expression,3,4,750,750,0.03639648097050737,1.051407619296168
68,expression,4,5,750,750,0.03217502900061788,0.6322198274734822
68,expression,5,6,750,58,0.010947667717629119,0.2985132598080945
69,AU,0,1,750,750,0.02520889450141632,0.6493323778814253
69,AU,1,2,750,750,0.029051036646557244,0.8606826246301552
69,AU,2,3,750,750,0.030987606433658225,0.9030457407181458
69,AU,3,4,750,750,0.030160334818467152,0.8836394345289386
69,AU,4,5,750,723,0.03832173994436927,0.7864907296176339
69,VA,0,1,750,750,0.006774809329636465,0.6307237077418144
69,VA,1,2,750,750,0.00788670458437062,0.7807247780195579
69,VA,2,3,750,750,0.008022053304420374,0.7040041128321577
69,VA,3,4,750,750,0.008044454940975642,1.2703167123627717
69,VA,4,5,750,723,0.007762446891800563,1.0195975536214905
69,expression,0,1,750,750,0.014059051520588166,0.8864483172396002
69,expression,1,2,750,750,0.015043482109511674,0.8717738893632501
69,expression,2,3,750,750,0.012350443686075113,0.8366942037609123
69,expression,3,4,750,750,0.01346390154033243,0.8868388109177676
69,expression,4,5,750,723,0.01508922071597683,0.8736176951037407
70,AU,0,1,750,750,0.021442480667640863,1.0545330405510247
70,AU,1,2,750,750,0.02178045458481291,0.739225089990144
70,AU,2,3,750,750,0.025352870987711044,1.117640533057428
70,AU,3,4,750,729,0.021423629159566245,0.9467645664867879
70,VA,0,1,750,750,0.006753868982049371,0.8934378678665174
70,VA,1,2,750,750,0.007391153615626372,0.9621128758117613
70,VA,2,3,750,750,0.009006603747321354,1.5985808733347666
70,VA,3,4,750,729,0.008750666598302946,0.9282955756189353
70,expression,0,1,750,750,0.026426927428735595,0.6473048430997504
70,expression,1,2,750,750,0.02990713187686377,0.7986652025046279
70,expression,2,3,750,750,0.03032518478950777,0.9869013585093593
70,expression,3,4,750,729,0.0249204535906777,0.6228509401368498
71,AU,0,1,750,750,0.013103537970647937,0.5808388268726872
71,AU,1,2,750,750,0.009747424042604624,0.48209511616560335
71,AU,2,3,750,750,0.015516835297741042,0.6588840710703248
71,AU,3,4,750,750,0.02006123372426653,0.8864384614469716
71,AU,4,5,750,750,0.020027938795504074,0.8145874521319303
71,AU,5,6,750,61,0.006310629140659481,0.46520554456316077
71,VA,0,1,750,750,0.012677340635453607,1.004703956991288
71,VA,1,2,750,750,0.014391168599518282,0.8803805005746985
71,VA,2,3,750,750,0.016645448174907616,0.9622397271752
71,VA,3,4,750,750,0.01575687723532216,0.8985700805140343
71,VA,4,5,750,750,0.014561620013179436,0.9811417907230761
71,VA,5,6,750,61,0.015277603047103374,0.9138383819852145
71,expression,0,1,750,750,0.02058766922170219,0.7100252808092606
71,expression,1,2,750,750,0.024611737250635833,0.8417983362815508
71,expression,2,3,750,750,0.025290443137279364,0.6899257533380725
71,expression,3,4,750,750,0.022178246310166974,0.9202364458228991
71,expression,4,5,750,750,0.018890516737867576,0.9274466570550101
71,expression,5,6,750,61,0.005267356613605504,0.8192943126524579
72,AU,0,1,750,750,0.02005282463940759,0.8660758153619716
72,AU,1,2,750,750,0.02521466817088383,0.7796040376071143
72,AU,2,3,750,750,0.02587903702368542,0.9505050455561789
72,AU,3,4,750,416,0.02372432521831892,0.7457943167661305
72,VA,0,1,750,750,0.015646886868952624,0.9157876315911264
72,VA,1,2,750,750,0.016882390635857645,0.9944140263197183
72,VA,2,3,750,750,0.014581453843273673,1.1478755760505148
