source,group,left_block,right_block,left_frames,right_frames,candidate_covariance,correlation
55,VA,2,3,750,750,0.007521262982207848,1.407168465500594
55,VA,3,4,750,505,0.005452278702019806,0.8082832540386425
55,expression,0,1,750,750,0.016356857265679176,0.7537816266048882
55,expression,1,2,750,750,0.020224731736072702,0.900956698950771
55,expression,2,3,750,750,0.017593441547036646,1.1420440588019625
55,expression,3,4,750,505,0.0168642939939346,0.8941614410740707
56,AU,0,1,750,239,0.02016510898583012,0.7624973626392716
56,VA,0,1,750,239,0.005773496078156822,0.8097573895747123
56,expression,0,1,750,239,0.012931036390929946,0.9517600257610753
57,AU,0,1,750,265,0.018775836182098986,0.863140721840834
57,VA,0,1,750,265,0.014087039236615678,1.1494160983680934
57,expression,0,1,750,265,0.015355878441804307,0.5926946580880873
58,AU,0,1,750,448,0.015300464193266942,0.6877704275709617
58,VA,0,1,750,448,0.006936732359672479,0.5664711054470538
58,expression,0,1,750,448,0.017314020680043216,0.7236654929418889
59,AU,0,1,750,179,0.018944742974811413,0.5480106876149594
59,VA,0,1,750,179,0.004631939114921759,0.7865505733083755
59,expression,0,1,750,179,0.012667096424438248,0.6856920036846283
60,AU,0,1,750,750,0.02194496745754585,0.842476567145507
60,AU,1,2,750,392,0.021143236752863004,0.5821938184309751
60,VA,0,1,750,750,0.007104517685606911,0.9921045180101347
60,VA,1,2,750,392,0.008245279381116126,1.1689168264450716
60,expression,0,1,750,750,0.018064116123835662,0.7847361730254714
60,expression,1,2,750,392,0.01980981665339532,0.5135797588849079
61,AU,0,1,750,750,0.003644991244741955,0.2959769960749879
61,AU,1,2,750,750,0.014848150218136855,0.7053539021228152
61,AU,2,3,750,750,0.014781103208948052,0.8437052362762979
61,AU,3,4,750,455,0.018505780265231697,0.7136659740297043
61,VA,0,1,750,750,0.006212460106987843,0.49117917948212997
61,VA,1,2,750,750,0.0072939328697283114,0.7488537049584939
61,VA,2,3,750,750,0.007947556069172725,1.16433930688375
61,VA,3,4,750,455,0.007521570822389325,0.9883262566869823
61,expression,0,1,750,750,0.007404697743421356,0.6196819582403252
61,expression,1,2,750,750,0.013235361168032164,0.7956865276471351
61,expression,2,3,750,750,0.012658162246411976,0.9517154272169613
61,expression,3,4,750,455,0.011236287045220738,0.7346549838507787
62,AU,0,1,750,750,0.013718436452817392,1.038511511366842
62,AU,1,2,750,750,0.013458391356371733,0.9012996099403696
62,AU,2,3,750,750,0.009702159238070992,0.7016070066865664
