arm,step,input_index,group,candidate_mse_offdiag,centered_candidate_mse_offdiag,temporal_variance,speed_abs,near_duplicate_pairs_mse_lt_1e_8,minimum,maximum
MAM,archive,23,VA,0.1288773400563231,0.005864875319083307,0.024692320505066423,0.03496932123218929,0,-0.5974776148796082,0.8085029125213623
MAM,archive,23,expression,0.1070856527594955,0.0202155475552206,0.017891924674338464,0.017679809493022697,0,1.715932711476853e-07,0.9997294545173645
MAM,archive,24,AU,0.20878862701084924,0.09715167840016325,0.07419089445176416,0.02239298955173576,0,0.0,1.0
MAM,archive,24,VA,0.10466964218393843,0.009211252827211204,0.018974858583962077,0.03295806527617248,0,-0.7520571947097778,0.7316683530807495
MAM,archive,24,expression,0.10672658450906711,0.028650123557073744,0.022272028165321138,0.01788814237925643,0,1.6951813108789793e-07,0.9998962879180908
MAM,archive,25,AU,0.19151610960554055,0.0952784953719004,0.07850226892401174,0.0213157002373686,0,0.0,1.0
MAM,archive,25,VA,0.11142571229289717,0.009512854242997193,0.019217722583438762,0.03005661669730006,0,-0.743435263633728,0.8162153959274292
MAM,archive,25,expression,0.11348291749087444,0.026374061880297735,0.018787602424519705,0.017902191711748432,0,4.0323424599364444e-08,0.9999715089797974
MAM,archive,26,AU,0.2097203218788498,0.10796092845424472,0.08204826088787023,0.02117091595845137,0,0.0,1.0
MAM,archive,26,VA,0.11267321291547906,0.005174592201596071,0.012270765552443514,0.029675004023524076,0,-0.680269718170166,0.6854937076568604
MAM,archive,26,expression,0.12322975518413164,0.017955393052654305,0.011788284659769947,0.016551863368083633,0,6.033951081008126e-07,0.9998319149017334
MAM,archive,27,AU,0.18974168435951877,0.10061783646094875,0.08613151216788918,0.019314741035856575,0,0.0,1.0
MAM,archive,27,VA,0.13413094220806307,0.006734167666400588,0.013277163340251738,0.0268849340236845,0,-0.6371705532073975,0.7618109583854675
MAM,archive,27,expression,0.1093797449567514,0.025908672577304524,0.01871850045228868,0.016151590135326608,0,6.549518616338901e-08,0.9999597072601318
MAM,archive,28,AU,0.1506694855532065,0.08437533305422582,0.09300330860835394,0.025211864406779663,0,0.0,1.0
MAM,archive,28,VA,0.11566188712817159,0.009290312086061259,0.02510002763537734,0.03306291580205868,0,-0.7377574443817139,0.8202615976333618
