arm,step,input_index,FRC,target_side_mean,one_to_one_mean,selected_slots,selected_distinct_content,unique_reference_contents,duplicate_reference_slots,selected_distinct_slots
R1,2000,11,0.8047259341668718,0.053792605562989246,0.044467160290694384,"[5, 5, 5, 5, 0, 3, 8, 5, 8, 5]",4,10,0,4
R1,2000,12,0.5612853435355248,0.03243270948335707,0.02703220241271482,"[0, 5, 0, 6, 0, 0, 0, 0, 0, 0]",3,10,0,3
R1,2000,13,0.2569431304728417,0.02101859449935495,0.01736551950923562,"[8, 8, 9, 9, 0, 0, 3, 5, 8, 5]",5,10,0,5
R1,2000,14,0.3081366005407367,0.020468820720135276,0.016436279425654444,"[0, 9, 0, 0, 5, 4, 3, 0, 0, 0]",5,10,0,5
R1,2000,15,0.3953695745159301,0.029119103596871233,0.02360904937662974,"[0, 0, 3, 3, 0, 3, 3, 3, 0, 0]",2,10,0,2
R1,2000,16,0.8669246736817284,0.06542859665188397,0.05656771122764741,"[9, 3, 9, 9, 2, 2, 3, 9, 3, 3]",3,10,0,3
R1,2000,17,0.639409021946328,0.0419272747976546,0.03681995029621329,"[0, 3, 0, 0, 4, 9, 0, 0, 9, 0]",4,10,0,4
R1,2000,18,0.46122013541096346,0.037686517474893384,0.0344142340594047,"[0, 8, 0, 0, 3, 8, 3, 0, 4, 0]",4,10,0,4
R1,2000,19,0.48084635532419273,0.04160518480210634,0.035528874287669106,"[9, 4, 9, 4, 0, 0, 9, 4, 4, 0]",3,10,0,3
R1,2000,20,0.5956636810642182,0.03967795294643873,0.034243503852535356,"[0, 5, 4, 4, 2, 0, 0, 0, 0, 0]",4,10,0,4
R1,2000,21,0.5545613297660538,0.04382829859658777,0.036790501053542604,"[4, 5, 4, 0, 0, 0, 0, 0, 0, 0]",3,10,0,3
R1,2000,22,0.5154150961715174,0.04123142262795936,0.03481865059392985,"[5, 8, 5, 5, 5, 6, 0, 5, 0, 5]",4,10,0,4
R1,2000,23,0.6396017720596313,0.04832443005688568,0.04067257565923665,"[0, 0, 0, 0, 0, 5, 0, 0, 0, 7]",3,10,0,3
R1,2000,24,1.4480429514324764,0.08292499530209652,0.0744495892183769,"[7, 3, 7, 7, 7, 9, 7, 7, 7, 7]",3,10,0,3
R1,2000,25,1.0358226118120777,0.08044041412729881,0.06330385251379897,"[1, 0, 1, 1, 4, 3, 0, 4, 0, 4]",4,10,0,4
R1,2000,26,0.7970456022289981,0.0636315735026174,0.05456784805275183,"[5, 8, 9, 9, 0, 0, 5, 9, 6, 0]",5,10,0,5
R1,2000,27,0.40834309817616354,0.04154152234588768,0.03085249353040893,"[5, 2, 3, 3, 8, 6, 0, 3, 0, 3]",6,10,0,6
R1,2000,28,1.054414943725677,0.08477179880683301,0.0682781827828566,"[6, 3, 6, 6, 5, 5, 5, 6, 5, 6]",3,10,0,3
R1,2000,29,0.6753583980787001,0.05407420237637407,0.05122966138319342,"[5, 2, 5, 5, 1, 2, 9, 5, 4, 1]",5,10,0,5
R1,2000,30,0.32925410397277965,0.025328286527728165,0.02207800026409316,"[5, 6, 1, 1, 7, 7, 5, 1, 7, 1]",4,10,0,4
R1,2000,31,0.48042430439438877,0.03309123314488639,0.030252311848749512,"[5, 4, 5, 5, 7, 5, 0, 5, 0, 5]",4,10,0,4
R1,2000,32,0.6419668551412402,0.0544034942546623,0.04853680509614822,"[9, 6, 6, 4, 3, 3, 3, 9, 9, 5]",5,10,0,5
R1,2000,33,0.3470496844364722,0.036588056886894524,0.02833432730255696,"[9, 9, 7, 1, 1, 1, 9, 2, 5, 7]",5,10,0,5
R1,2000,34,0.9091636257287253,0.05976885661018052,0.04977638012685199,"[0, 2, 0, 0, 6, 0, 0, 0, 0, 0]",3,10,0,3
R1,2000,35,0.6759379339020243,0.049717854571674505,0.0361084952343691,"[0, 1, 0, 0, 5, 0, 0, 0, 0, 0]",3,10,0,3
R1,2000,36,0.6828199314446365,0.048135529895183486,0.039040791846870274,"[7, 2, 7, 7, 4, 1, 7, 7, 7, 7]",4,10,0,4
R1,2000,37,0.46620556307755184,0.0319596459010604,0.028319553743128657,"[6, 0, 6, 6, 1, 1, 2, 6, 2, 6]",4,10,0,4
R1,2000,38,1.197267619307017,0.07278171245706413,0.0654028020615596,"[3, 0, 3, 3, 1, 1, 1, 3, 0, 3]",3,10,0,3
R1,2000,39,0.8619236471868905,0.07136136306047912,0.05495558910638315,"[9, 1, 8, 8, 0, 8, 9, 8, 9, 8]",4,10,0,4
R1,2000,40,1.0220092424201548,0.0520927807163392,0.04675064500510169,"[4, 7, 4, 4, 6, 4, 7, 4, 7, 7]",3,10,0,3
R1,2000,41,0.5328795055502095,0.06147068571840795,0.04589546443180752,"[0, 1, 9, 9, 6, 8, 0, 9, 5, 9]",6,10,0,6
