model,source,target_side_mean,candidate_best_mean
A12000,65,0.04370104719440511,0.04819903053619979
A12000,66,0.02915811068466733,0.029403357879911263
A12000,67,0.03229755614230929,0.04062594196063622
A12000,68,0.02890135112785991,0.046613892820844785
A12000,69,0.01747686795162165,0.024717401950864748
A12000,70,0.018802954414193076,0.03419703159825742
A12000,71,0.034830836851629805,0.06357211867596298
A12000,72,0.030320358453496177,0.033252738028113155
A12000,73,0.014607401585558025,0.021237867456620867
A12000,74,0.011921313301826577,0.014581898741451932
A12000,75,0.012811141105108951,0.018567977101257894
A12000,76,0.03872124491315448,0.05145775363439222
A12000,77,0.04322759233122593,0.04321578295050884
A12000,78,0.023034113781980607,0.026844257551543776
A12000,79,0.043376445517012724,0.046519818656072597
T0,0,0.012526157134593586,0.03488348233593677
T0,1,0.018692780166783496,0.05929344429730239
T0,2,0.027910847376500698,0.05619032572070835
T0,3,0.019107921584262357,0.053384955905873055
T0,4,0.09879249825308417,0.1195358618572893
T0,5,0.08548937147866627,0.11953232115899182
T0,6,0.07410165368679811,0.08291906388251842
T0,7,0.0767780523721763,0.10630572341418162
T0,8,0.05254857772197371,0.06548323721081538
T0,9,0.047883904127832944,0.07700878252477332
T0,10,0.05104661151441734,0.06578399512861974
T0,11,0.0707299662386817,0.10076181616815194
T0,12,0.03839241410655887,0.04711377780362629
T0,13,0.04210971297687953,0.05914551556948457
T0,14,0.029456168891745526,0.0332170128621284
T0,15,0.06060994984102126,0.07225848067863719
T0,16,0.0742012511038315,0.09340636498440838
T0,17,0.042761434862753675,0.052156107916916813
T0,18,0.059512718153735746,0.05856340109842277
T0,19,0.045181054370864795,0.05213642139824032
T0,20,0.06343380791783798,0.12115132678092351
