model,source,candidate,best_CCC
MAM,27,0,0.07643247522708778
MAM,27,1,0.05155341586858777
MAM,27,2,0.08033616674821342
MAM,27,3,0.06443183213698171
MAM,27,4,0.06603406176560145
MAM,27,5,0.060471263158047545
MAM,27,6,0.05839103309221089
MAM,27,7,0.057651581585697685
MAM,27,8,0.07094597534056445
MAM,27,9,0.09400234141245693
MAM,28,0,0.16531902438158602
MAM,28,1,0.19447489718346714
MAM,28,2,0.1597954918790363
MAM,28,3,0.17801363345556884
MAM,28,4,0.11922377248762467
MAM,28,5,0.14061340458649113
MAM,28,6,0.09836532516835005
MAM,28,7,0.15855922689349966
MAM,28,8,0.19901151601421002
MAM,28,9,0.15085004175303351
MAM,29,0,0.09492069008162413
MAM,29,1,0.032206404943992024
MAM,29,2,0.10349130476570613
MAM,29,3,0.055267620244231326
MAM,29,4,0.05554001748620838
MAM,29,5,0.07984387959830781
MAM,29,6,0.08981706846776184
MAM,29,7,0.025089932669512902
MAM,29,8,0.05106944511715199
MAM,29,9,0.11550228908307864
MAM,30,0,0.01973440919821842
MAM,30,1,0.012614611342585543
MAM,30,2,0.059076488732877123
MAM,30,3,0.006512942847828433
MAM,30,4,0.03924444332791046
MAM,30,5,0.033021022851621
MAM,30,6,0.05304443634837321
MAM,30,7,0.0037340058030982293
MAM,30,8,0.006432575058553237
MAM,30,9,0.01697539574852716
MAM,31,0,0.04324805282053181
MAM,31,1,0.05511262558751299
MAM,31,2,0.054128695139800086
MAM,31,3,0.04302981064610964
MAM,31,4,0.06522740304360446
MAM,31,5,0.05429383351540901
MAM,31,6,0.04393246848174827
MAM,31,7,0.03794090754527417
MAM,31,8,0.050681473165749204
MAM,31,9,0.05519151332215025
MAM,32,0,0.12127795121591
MAM,32,1,0.09108929603289105
MAM,32,2,0.09246371230558399
MAM,32,3,0.08661238989832869
MAM,32,4,0.09361619565016331
MAM,32,5,0.1197644291318512
MAM,32,6,0.09397657527823006
MAM,32,7,0.12063902153404223
MAM,32,8,0.09356396628410632
MAM,32,9,0.10710211389089574
MAM,33,0,0.06382457332552716
MAM,33,1,0.07775769849171271
MAM,33,2,0.06555994340581947
MAM,33,3,0.06164816971431332
MAM,33,4,0.07998507111769838
MAM,33,5,0.07244328179337066
MAM,33,6,0.06863487160345168
MAM,33,7,0.07544466050614264
MAM,33,8,0.06255045373401957
MAM,33,9,0.07340483050852836
MAM,34,0,0.17142572660659208
MAM,34,1,0.12380015493548813
MAM,34,2,0.13961292537902414
MAM,34,3,0.1299200079366117
MAM,34,4,0.11750664682998412
MAM,34,5,0.1268649444725597
MAM,34,6,0.10641613817890053
MAM,34,7,0.11777096991140372
MAM,34,8,0.11991139838731728
MAM,34,9,0.15629656494598138
MAM,35,0,0.09377781443569373
MAM,35,1,0.11015641393548464
MAM,35,2,0.07779704876995475
MAM,35,3,0.11098964364618669
MAM,35,4,0.08028207952429577
MAM,35,5,0.09917865360714323
MAM,35,6,0.07255863505337987
MAM,35,7,0.10251123177521361
MAM,35,8,0.11520873644160465
MAM,35,9,0.112468434893301
MAM,36,0,0.12565889491780838
MAM,36,1,0.19863161210786168
MAM,36,2,0.1287291083802145
MAM,36,3,0.16773288132008696
MAM,36,4,0.14594179716292188
MAM,36,5,0.16366677442360839
MAM,36,6,0.12769781875484373
MAM,36,7,0.18332612823415786
MAM,36,8,0.18934672614290832
MAM,36,9,0.13266838067167405
MAM,37,0,0.07901549850095538
MAM,37,1,0.12059743785060334
MAM,37,2,0.06364951380635751
MAM,37,3,0.06408569201869187
MAM,37,4,0.0501579440293494
MAM,37,5,0.0685990995473549
MAM,37,6,0.054606008856367655
MAM,37,7,0.06948104837868936
MAM,37,8,0.08360312076851754
MAM,37,9,0.05364776512661955
MAM,38,0,0.10560753465998522
MAM,38,1,0.18026892397818528
MAM,38,2,0.09067762392008204
MAM,38,3,0.18677397087337744
MAM,38,4,0.13061001361480346
MAM,38,5,0.16747036808828475
MAM,38,6,0.11962351465465293
MAM,38,7,0.19925960663626516
MAM,38,8,0.16905883635290547
MAM,38,9,0.12326310225885768
MAM,39,0,0.15366576744033358
MAM,39,1,0.2085057324782418
MAM,39,2,0.11984435424859105
MAM,39,3,0.17632735619148174
MAM,39,4,0.16256819699118621
MAM,39,5,0.14661261952861449
MAM,39,6,0.1449320371226247
MAM,39,7,0.1431836169664674
MAM,39,8,0.1789970312379554
MAM,39,9,0.174405614831034
MAM,40,0,0.11084042665275301
MAM,40,1,0.03594737176557703
MAM,40,2,0.0646404248441766
MAM,40,3,0.052852323816876885
MAM,40,4,0.07632893101768463
MAM,40,5,0.07788489183454768
MAM,40,6,0.056510242246936286
MAM,40,7,0.07018418968463358
MAM,40,8,0.020283942674634067
MAM,40,9,0.15993117559656575
MAM,41,0,0.19518719132032877
MAM,41,1,0.1787123892237892
MAM,41,2,0.14607301289079502
MAM,41,3,0.14835830080594323
MAM,41,4,0.12177703105212943
MAM,41,5,0.14476317199879035
MAM,41,6,0.09297871137168787
MAM,41,7,0.12193610178300972
MAM,41,8,0.14204933745981332
MAM,41,9,0.1819180112924978
MAM,42,0,0.0835022313861316
MAM,42,1,0.02969213372897082
MAM,42,2,0.043565500837575086
MAM,42,3,0.05157621464919728
MAM,42,4,0.09096334204709844
MAM,42,5,0.10154760560761313
MAM,42,6,0.08545871478999309
MAM,42,7,0.052206518703257744
MAM,42,8,0.05255425020394796
MAM,42,9,0.105429658740696
MAM,43,0,0.2619535764201627
MAM,43,1,0.1689375512840038
MAM,43,2,0.18227871564298184
MAM,43,3,0.1578653986316742
MAM,43,4,0.13888397966464677
