model,source,group,dimension_weight,total,DC,slow,fast,identity_error,speed,acceleration,total_contribution,DC_contribution,slow_contribution,fast_contribution
A12000,38,VA,0.08,0.05345098506955575,0.013423643496464518,0.030639705803928666,0.009387635769162555,6.938893903907228e-18,0.06688441480809537,0.11447789154774779,0.00427607880556446,0.0010738914797171614,0.0024511764643142934,0.0007510108615330044
A12000,38,expression,0.32,0.09315901836575541,0.013316949503970405,0.05738019830473058,0.022461870557054425,0.0,0.05168641276113208,0.09238638127929655,0.02981088587704173,0.004261423841270529,0.018361663457513788,0.007187798578257416
A12000,39,AU,0.6,0.19991732773255005,0.02090336054597185,0.11055162549512308,0.06846234169145511,0.0,0.08450162958616364,0.1640714940536327,0.11995039663953003,0.01254201632758311,0.06633097529707385,0.041077405014873065
A12000,39,VA,0.08,0.08278469915375541,0.0247557056549607,0.04697757593764355,0.011051417561151165,0.0,0.07127333835416527,0.12290669707238695,0.006622775932300433,0.001980456452396856,0.0037582060750114836,0.0008841134048920931
A12000,39,expression,0.32,0.10481670840912939,0.016942122228874493,0.06291775281351349,0.024956833366741427,1.3877787807814457e-17,0.0544927437091886,0.09822145988272797,0.0335413466909214,0.0054214791132398375,0.020133680900324316,0.007986186677357256
A12000,40,AU,0.6,0.26466006720029006,0.06910540788127693,0.1196094357849168,0.07594522353409636,5.551115123125783e-17,0.09155992293184201,0.17719581888294472,0.15879604032017405,0.04146324472876616,0.07176566147095008,0.04556713412045782
A12000,40,VA,0.08,0.10932036123259896,0.03446583133757776,0.061343024030801316,0.013511505864219904,1.3877787807814457e-17,0.07495921146971576,0.1283514536639533,0.008745628898607917,0.002757266507006221,0.004907441922464105,0.0010809204691375922
A12000,40,expression,0.32,0.12138211248647428,0.03519446609042723,0.06366581021517394,0.022521836180873105,1.3877787807814457e-17,0.050432077604738175,0.09022791329363063,0.03884227599567177,0.011262229148936714,0.02037305926885566,0.007206987577879393
A12000,41,AU,0.6,0.1790040775712217,0.030022028131876675,0.0925427803125836,0.05643926912676141,2.7755575615628914e-17,0.07045064858054423,0.13603038239070786,0.10740244654273301,0.018013216879126007,0.05552566818755016,0.03386356147605684
A12000,41,VA,0.08,0.054009526306388694,0.0094052631371649,0.03605441064314809,0.008549852526075716,1.3877787807814457e-17,0.06383564636796894,0.11016288125336535,0.004320762104511096,0.000752421050973192,0.0028843528514518476,0.0006839882020860573
A12000,41,expression,0.32,0.09808913908313714,0.023258696312834448,0.05511618430543061,0.01971425846487209,1.3877787807814457e-17,0.04728945953704009,0.08466292186973966,0.031388524506603885,0.007442782820107023,0.017637178977737797,0.006308562708759069
A12000,42,AU,0.6,0.159486892976929,0.00834842171257222,0.0887093409604873,0.062429130303869484,0.0,0.07685402703603335,0.14915897371998246,0.0956921357861574,0.005009053027543332,0.05322560457629238,0.03745747818232169
