model,source,population,group,total,DC,slow,fast,identity_error,speed,acceleration
MAM_archive_offline,10,prediction,AU,0.2131754861408263,0.11116714140814361,0.075195201893652,0.026813142839030732,8.326672684688674e-17,0.020496681652751016,0.040955441302485004
MAM_archive_offline,10,prediction,VA,0.061017362724636946,0.05687424826196705,0.003779101568828919,0.00036401289384099323,1.3877787807814457e-17,0.02647165792299261,0.03781074608033756
MAM_archive_offline,10,prediction,expression,0.12329876127930291,0.10919185049786627,0.01200325176408354,0.0021036590173530503,4.163336342344337e-17,0.01415136669152128,0.02111357577046881
MAM_archive_offline,10,processed_targets,AU,0.2128940236770789,0.07846517853508153,0.10386473160612517,0.0305641135358722,0.0,0.01567972596874331,0.03136675235646958
MAM_archive_offline,10,processed_targets,VA,0.10743585254263222,0.06896160660755282,0.032181979315562,0.00629226661951734,5.551115123125783e-17,0.02310721785214107,0.028406574374129447
MAM_archive_offline,10,processed_targets,expression,0.12562751566636932,0.048591395365540455,0.05978073989298181,0.017255380407847073,2.7755575615628914e-17,0.020274011886057302,0.027391085545344702
MAM_archive_offline,11,prediction,AU,0.1662591687041565,0.06392500650011465,0.08287643634452298,0.01945772585951885,0.0,0.01648178357803154,0.03293605442176871
MAM_archive_offline,11,prediction,VA,0.1117073508494332,0.10416758695236059,0.007048994817162987,0.0004907690799096198,0.0,0.021598245485900697,0.032388069792694596
MAM_archive_offline,11,prediction,expression,0.10843397666628342,0.07959940117752329,0.027175357109477223,0.001659218379282903,1.3877787807814457e-17,0.011648704845814964,0.018274951828656235
MAM_archive_offline,11,processed_targets,AU,0.18602191433487275,0.05739826899283807,0.1001674589192631,0.02845618642277159,0.0,0.014926590538336053,0.029866666666666666
MAM_archive_offline,11,processed_targets,VA,0.10403742337182316,0.06448061317298308,0.03472752373196857,0.004829286466871485,2.7755575615628914e-17,0.019446966066564545,0.024512111911436124
MAM_archive_offline,11,processed_targets,expression,0.1302785125211364,0.0625520511452211,0.05420368866978931,0.013522772706126006,0.0,0.016855866612727956,0.02309943875832414
MAM_archive_offline,12,prediction,AU,0.1871300091989747,0.08194855622942399,0.08321104151638066,0.02197041145317007,0.0,0.0170767004341534,0.034156815440289506
MAM_archive_offline,12,prediction,VA,0.1288341019782102,0.12294513925505414,0.005472078498681088,0.00041688422447492743,8.326672684688674e-17,0.02167853747010129,0.02997601141900302
MAM_archive_offline,12,prediction,expression,0.14685632333736504,0.1241561372105483,0.021418888211058206,0.0012812979157585276,0.0,0.008431827872689826,0.01235757325674406
MAM_archive_offline,12,processed_targets,AU,0.17318329180398148,0.05472832406635822,0.09340276578886958,0.025052201948753672,0.0,0.013164495899662326,0.026328910333735425
MAM_archive_offline,12,processed_targets,VA,0.12925485887184238,0.07584398966705361,0.047789019643310386,0.00562184956147837,0.0,0.018295545120814747,0.02225579636919664
MAM_archive_offline,12,processed_targets,expression,0.11557418350758443,0.04808185135437923,0.05580476775163072,0.011687564401574485,0.0,0.013454392281544948,0.018241651579625102
MAM_archive_offline,13,prediction,AU,0.18832030522985296,0.09691350380279917,0.06887582090717041,0.022530980519883365,0.0,0.017422687609075043,0.03483591677140064
MAM_archive_offline,13,prediction,VA,0.08561169386740862,0.08042505752643947,0.004741671009509384,0.0004449653314597496,1.3877787807814457e-17,0.02305073355160183,0.03234620312654432
MAM_archive_offline,13,prediction,expression,0.13470597143940755,0.11637595102683175,0.016846077681017438,0.0014839427315583758,2.7755575615628914e-17,0.0110436111308701,0.016279536241709275
MAM_archive_offline,13,processed_targets,AU,0.20945716235498482,0.0697869770767937,0.10824291001297616,0.031427275265214966,0.0,0.016664572425828972,0.03332914397430527
MAM_archive_offline,13,processed_targets,VA,0.1593148881603869,0.10749029842258206,0.04620577341039,0.00561881632741478,5.551115123125783e-17,0.019371481681564405,0.023205508916296618
MAM_archive_offline,13,processed_targets,expression,0.1311833076118733,0.06605780927022732,0.053911604445000386,0.011213893896645618,2.7755575615628914e-17,0.013136940449993958,0.01749871796942544
MAM_archive_offline,14,prediction,AU,0.21940673553371967,0.1116748814651417,0.08235329523763818,0.025378558830939788,0.0,0.020592726997807516,0.041167574107683
MAM_archive_offline,14,prediction,VA,0.10657640105850917,0.09712238241642825,0.008994877316964852,0.0004591413251160411,2.7755575615628914e-17,0.02572905273768589,0.037500267227914844
MAM_archive_offline,14,prediction,expression,0.13451128408993338,0.1114660198789894,0.02146283665139327,0.0015824275595507332,2.7755575615628914e-17,0.012312450211878065,0.018714855537435515
MAM_archive_offline,14,processed_targets,AU,0.2072061812379273,0.06748104148800976,0.1074540387169117,0.032271101033005796,5.551115123125783e-17,0.01765026083012021,0.035300967937084086
MAM_archive_offline,14,processed_targets,VA,0.1360702987851601,0.09206057312897606,0.03889015961235525,0.005119566043828773,2.7755575615628914e-17,0.018688124917020033,0.02248358901044161
MAM_archive_offline,14,processed_targets,expression,0.12756763751507277,0.06664152136264107,0.04987674273777285,0.01104937341465888,2.7755575615628914e-17,0.013123661503389237,0.017441978016523318
MAM_archive_offline,15,prediction,AU,0.15415787504676398,0.04746640970120208,0.08244511293254278,0.024246352413019083,2.7755575615628914e-17,0.01911066195048004,0.03820020222446916
MAM_archive_offline,15,prediction,VA,0.14365238968976357,0.13666011952203586,0.006489141983452526,0.0005031281842752125,2.7755575615628914e-17,0.025526819498183903,0.03622222100130868
