model,source,raw_FRC,P8_prediction_only_FRC
seed123_A_step6000,9,0.41055598855018616,0.5009328126907349
seed123_A_step6000,10,0.1331731379032135,0.18458665907382965
seed123_A_step6000,11,0.3213217854499817,0.41620078682899475
seed123_A_step6000,12,0.2054077535867691,0.2881167232990265
seed123_A_step6000,13,0.1659964919090271,0.2407628297805786
seed123_A_step6000,14,0.14220406115055084,0.19595438241958618
seed123_A_step6000,15,0.23605503141880035,0.30813688039779663
seed123_A_step6000,16,0.4196352958679199,0.5343523621559143
seed123_A_step6000,17,0.18671981990337372,0.2676403522491455
seed123_A_step6000,18,0.29094916582107544,0.37832024693489075
seed123_A_step6000,19,0.28936767578125,0.4105775058269501
seed123_A_step6000,20,0.3675537109375,0.4857010841369629
seed123_A_step6000,21,0.5544595122337341,0.6735168099403381
seed123_A_step6000,22,0.5717242956161499,0.7403122186660767
seed123_A_step6000,23,0.24206560850143433,0.3168795108795166
seed123_A_step6000,24,0.6109408140182495,0.7845710515975952
seed123_A_step6000,25,0.5243615508079529,0.6373307108879089
seed123_A_step6000,26,0.35948240756988525,0.45098376274108887
seed123_A_step6000,27,0.3608153164386749,0.4685685932636261
seed123_A_step6000,28,0.5595279932022095,0.6680493354797363
seed123_A_step6000,29,0.366748571395874,0.4549027383327484
seed123_A_step6000,30,0.3209928870201111,0.41852864623069763
seed123_A_step6000,31,0.340131551027298,0.43318766355514526
seed123_A_step6000,32,0.6251616477966309,0.7421508431434631
seed123_A_step6000,33,0.5857365727424622,0.7274423837661743
seed123_A_step6000,34,0.37229180335998535,0.4709228575229645
seed123_A_step6000,35,0.40230125188827515,0.5067347884178162
seed123_A_step6000,36,0.6885733008384705,0.8540838360786438
seed123_A_step6000,37,0.5354286432266235,0.6546145081520081
seed123_A_step6000,38,0.5446277856826782,0.654780387878418
seed123_A_step6000,39,0.5284467339515686,0.6570999026298523
seed123_A_step6000,40,0.3523229956626892,0.4393408000469208
seed123_A_step6000,41,0.6959272623062134,0.8239056468009949
seed123_A_step6000,42,0.28544315695762634,0.37783095240592957
seed123_A_step6000,43,0.4420752227306366,0.5886229276657104
seed123_A_step6000,44,0.47406649589538574,0.5792003870010376
seed123_A_step6000,45,0.33127808570861816,0.4207838773727417
seed123_A_step6000,46,0.33330512046813965,0.44409650564193726
seed123_A_step6000,47,0.4840310215950012,0.5754153728485107
seed123_A_step6000,48,0.31427067518234253,0.38341233134269714
seed123_A_step6000,49,0.3196764290332794,0.4188859462738037
seed123_A_step6000,50,0.3634699881076813,0.4521469473838806
seed123_A_step6000,51,0.38549214601516724,0.46828553080558777
seed123_A_step6000,52,0.4035552144050598,0.5026199221611023
seed123_A_step6000,53,0.14486131072044373,0.20335155725479126
seed123_A_step6000,54,0.21777679026126862,0.30094635486602783
