Traceback (most recent call last):
  File "/home/zhengshiyi/.local/share/uv/python/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/runpy.py", line 196, in _run_module_as_main
    return _run_code(code, main_globals, None,
  File "/home/zhengshiyi/.local/share/uv/python/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/runpy.py", line 86, in _run_code
    exec(code, run_globals)
  File "/home/zhengshiyi/react2025_new/reaction_reward/train.py", line 58, in <module>
    p=argparse.ArgumentParser();p.add_argument('--arm',choices=ARMS,required=True);main(p.parse_args().arm)
  File "/home/zhengshiyi/react2025_new/reaction_reward/train.py", line 38, in main
    batch=active[i:i+4];d=difference(model,data,batch,fam);w=d.new_tensor([r['weight'] for r in batch]);loss=(F.softplus(-d)*w).sum()/den;assert torch.isfinite(loss);(mult*loss).backward();value+=float(loss.detach())
  File "/home/zhengshiyi/react2025_new/reaction_reward/train.py", line 12, in difference
    a=score(model,data,rows,'A');b=score(model,data,rows,'B');d=a-b;return d[:,0] if family in ['base_context','weak_context'] else d[:,1] if family=='temporal' else d.sum(-1)
  File "/home/zhengshiyi/react2025_new/reaction_reward/train.py", line 10, in score
    def score(model,data,rows,key):return model(*data.batch(rows,key))
  File "/home/zhengshiyi/react2025_new/reaction_reward/data.py", line 23, in batch
    n=r['n'];x,t=self.source(r['source'],r['start'],n);y,u=self.target(r[which],n);assert len(x)==len(y)==n;xs.append(x);ys.append(y);xt.append(t);yt.append(u);ns.append(n)
AssertionError
RM-Gen step 2875 loss {'base_context': 0.0008564864056097576, 'temporal': 0.12242686748504639, 'weak_context': 0.0001477715850342065, 'generated': 6.753260135650635}
RM-Gen step 2900 loss {'base_context': 0.001183368726874967, 'temporal': None, 'weak_context': 0.020234229043126106, 'generated': 0.7850031852722168}
RM-Gen step 2925 loss {'base_context': 9.12329170432713e-07, 'temporal': 0.009623698890209198, 'weak_context': None, 'generated': 0.7954867482185364}
RM-Gen step 2950 loss {'base_context': 6.45799993181985e-06, 'temporal': None, 'weak_context': 0.00012792643974535167, 'generated': 0.12336157262325287}
RM-Gen step 2975 loss {'base_context': 0.0024890756882314236, 'temporal': None, 'weak_context': 0.017333950847387314, 'generated': 0.004566007759422064}
RM-Gen step 3000 loss {'base_context': 2.6282462873616907e-05, 'temporal': 0.06653862446546555, 'weak_context': 0.0008890443132258952, 'generated': 0.007801789790391922}
RM-Gen step 3025 loss {'base_context': 9.609764526885556e-05, 'temporal': None, 'weak_context': 0.0002836582134477794, 'generated': 0.08760735392570496}
RM-Gen step 3050 loss {'base_context': 5.220994859556072e-06, 'temporal': None, 'weak_context': 0.006616917904466391, 'generated': 0.00013615078933071345}
RM-Gen step 3075 loss {'base_context': 9.834685275933452e-06, 'temporal': None, 'weak_context': 0.00011570790957193822, 'generated': 3.7732053897343576e-05}
RM-Gen step 3100 loss {'base_context': 1.874003612201136e-05, 'temporal': None, 'weak_context': 5.100289399706526e-07, 'generated': 0.05143648386001587}
RM-Gen step 3125 loss {'base_context': 1.4165930849685537e-05, 'temporal': None, 'weak_context': None, 'generated': 1.855536937713623}
RM-Gen step 3150 loss {'base_context': 0.005864282458901471, 'temporal': None, 'weak_context': 1.2646898539969698e-05, 'generated': 0.02651442401111126}
RM-Gen step 3175 loss {'base_context': 0.00026719767083704937, 'temporal': None, 'weak_context': 0.0003820431011263281, 'generated': 0.6244539022445679}
